words,count
24,80
13,267
4,513
20,117
13,267
5,496
13,267
49,10
35,20
47,10
13,267
7,457
15,221
22,111
8,385
12,280
31,50
31,50
8,385
26,77
6,471
4,513
6,471
11,316
4,513
5,496
11,316
7,457
4,513
16,195
8,385
28,77
3,590
17,167
10,377
6,471
7,457
3,590
9,371
18,148
10,377
9,371
3,590
9,371
21,141
10,377
10,377
7,457
5,496
10,377
8,385
3,590
12,280
3,590
49,10
10,377
9,371
16,195
4,513
8,385
6,471
15,221
6,471
14,234
22,111
11,316
7,457
16,195
22,111
15,221
18,148
26,77
9,371
8,385
7,457
9,371
21,141
16,195
7,457
15,221
5,496
4,513
13,267
28,77
4,513
3,590
11,316
4,513
9,371
13,267
15,221
6,471
14,234
26,77
9,371
26,77
23,110
5,496
21,141
14,234
9,371
7,457
8,385
15,221
7,457
13,267
13,267
24,80
9,371
9,371
10,377
3,590
9,371
10,377
39,16
14,234
6,471
10,377
5,496
6,471
46,10
3,590
8,385
5,496
14,234
5,496
8,385
18,148
20,117
52,8
19,142
6,471
16,195
7,457
28,77
24,80
17,167
13,267
29,52
11,316
41,21
31,50
28,77
16,195
8,385
128,1
8,385
4,513
75,2
4,513
12,280
8,385
7,457
10,377
8,385
7,457
15,221
9,371
4,513
37,25
8,385
9,371
3,590
12,280
8,385
21,141
37,25
13,267
8,385
7,457
11,316
14,234
45,11
17,167
9,371
21,141
20,117
22,111
6,471
4,513
7,457
36,35
3,590
12,280
17,167
7,457
6,471
6,471
12,280
3,590
3,590
9,371
3,590
6,471
7,457
10,377
9,371
13,267
5,496
9,371
5,496
3,590
21,141
5,496
3,590
13,267
8,385
21,141
11,316
3,590
12,280
12,280
7,457
15,221
10,377
31,50
14,234
11,316
7,457
3,590
8,385
7,457
13,267
7,457
3,590
11,316
14,234
8,385
23,110
7,457
8,385
10,377
19,142
3,590
4,513
3,590
13,267
5,496
9,371
3,590
6,471
5,496
10,377
3,590
3,590
5,496
5,496
4,513
6,471
2,10
5,496
11,316
12,280
8,385
9,371
10,377
12,280
10,377
5,496
7,457
16,195
25,92
15,221
14,234
9,371
9,371
10,377
49,10
3,590
3,590
9,371
16,195
31,50
12,280
3,590
9,371
8,385
15,221
12,280
26,77
4,513
5,496
4,513
8,385
14,234
28,77
10,377
15,221
7,457
4,513
31,50
9,371
20,117
3,590
5,496
15,221
5,496
6,471
11,316
16,195
3,590
3,590
22,111
18,148
30,54
4,513
15,221
18,148
4,513
3,590
6,471
4,513
8,385
49,10
5,496
3,590
16,195
21,141
18,148
12,280
29,52
24,80
3,590
14,234
3,590
7,457
6,471
6,471
6,471
5,496
4,513
19,142
8,385
13,267
16,195
20,117
10,377
22,111
8,385
31,50
25,92
32,41
28,77
34,41
30,54
32,41
21,141
34,41
14,234
23,110
7,457
10,377
7,457
9,371
11,316
3,590
12,280
21,141
19,142
10,377
10,377
4,513
14,234
3,590
6,471
8,385
20,117
6,471
4,513
8,385
25,92
8,385
14,234
6,471
3,590
12,280
11,316
18,148
8,385
5,496
9,371
12,280
4,513
7,457
11,316
9,371
16,195
22,111
5,496
4,513
5,496
15,221
5,496
5,496
13,267
8,385
9,371
3,590
16,195
5,496
4,513
39,16
29,52
15,221
21,141
4,513
8,385
9,371
9,371
3,590
15,221
8,385
9,371
4,513
14,234
11,316
4,513
54,4
5,496
11,316
5,496
13,267
3,590
21,141
14,234
3,590
8,385
24,80
17,167
3,590
163,1
13,267
3,590
37,25
27,54
5,496
7,457
5,496
4,513
18,148
10,377
13,267
34,41
23,110
25,92
5,496
36,35
8,385
3,590
14,234
4,513
23,110
8,385
7,457
17,167
16,195
9,371
8,385
3,590
11,316
4,513
7,457
40,24
9,371
2,10
15,221
11,316
5,496
6,471
8,385
13,267
30,54
6,471
4,513
8,385
19,142
14,234
5,496
6,471
6,471
6,471
3,590
22,111
34,41
20,117
7,457
28,77
5,496
16,195
17,167
24,80
10,377
43,13
7,457
13,267
14,234
13,267
7,457
9,371
15,221
7,457
6,471
3,590
8,385
7,457
13,267
43,13
16,195
3,590
3,590
5,496
6,471
11,316
4,513
9,371
14,234
3,590
5,496
11,316
21,141
25,92
22,111
6,471
9,371
7,457
7,457
6,471
11,316
5,496
21,141
26,77
11,316
9,371
7,457
5,496
2,10
21,141
7,457
17,167
5,496
13,267
34,41
3,590
25,92
10,377
9,371
22,111
3,590
5,496
5,496
16,195
4,513
3,590
3,590
4,513
14,234
4,513
3,590
11,316
14,234
6,471
3,590
9,371
11,316
4,513
25,92
19,142
5,496
4,513
12,280
13,267
11,316
16,195
14,234
14,234
5,496
5,496
19,142
11,316
9,371
21,141
11,316
29,52
22,111
30,54
15,221
12,280
52,8
14,234
19,142
3,590
13,267
21,141
3,590
4,513
12,280
10,377
26,77
6,471
8,385
4,513
7,457
7,457
22,111
24,80
4,513
10,377
6,471
6,471
11,316
12,280
8,385
12,280
3,590
8,385
17,167
26,77
13,267
21,141
25,92
8,385
14,234
9,371
10,377
7,457
13,267
60,5
21,141
13,267
63,2
11,316
30,54
13,267
39,16
3,590
4,513
6,471
13,267
6,471
13,267
4,513
7,457
10,377
21,141
6,471
11,316
10,377
32,41
36,35
7,457
5,496
11,316
6,471
4,513
4,513
4,513
3,590
19,142
21,141
11,316
36,35
30,54
16,195
67,3
23,110
27,54
12,280
18,148
7,457
28,77
20,117
12,280
15,221
14,234
4,513
5,496
6,471
4,513
4,513
4,513
6,471
4,513
8,385
8,385
6,471
6,471
3,590
28,77
6,471
3,590
6,471
5,496
4,513
6,471
10,377
11,316
10,377
6,471
18,148
6,471
5,496
8,385
14,234
5,496
14,234
11,316
36,35
3,590
10,377
14,234
3,590
13,267
14,234
20,117
6,471
4,513
3,590
3,590
3,590
9,371
6,471
4,513
3,590
13,267
8,385
3,590
15,221
5,496
23,110
42,15
10,377
4,513
9,371
4,513
15,221
6,471
10,377
15,221
13,267
8,385
7,457
7,457
24,80
13,267
9,371
9,371
4,513
3,590
4,513
12,280
6,471
16,195
7,457
5,496
40,24
7,457
10,377
4,513
5,496
16,195
8,385
6,471
10,377
16,195
12,280
4,513
10,377
29,52
13,267
17,167
7,457
19,142
27,54
14,234
9,371
18,148
23,110
12,280
23,110
10,377
42,15
3,590
8,385
4,513
14,234
24,80
11,316
28,77
5,496
22,111
17,167
14,234
27,54
4,513
4,513
9,371
11,316
4,513
12,280
14,234
6,471
25,92
13,267
8,385
12,280
4,513
8,385
6,471
23,110
4,513
7,457
24,80
38,25
6,471
5,496
6,471
13,267
16,195
4,513
13,267
19,142
21,141
10,377
13,267
14,234
13,267
17,167
8,385
15,221
5,496
17,167
30,54
13,267
15,221
34,41
7,457
14,234
3,590
22,111
3,590
13,267
12,280
12,280
7,457
6,471
24,80
6,471
26,77
22,111
13,267
3,590
15,221
30,54
12,280
10,377
69,1
66,1
28,77
37,25
5,496
13,267
21,141
10,377
22,111
40,24
20,117
44,10
6,471
12,280
14,234
7,457
23,110
20,117
16,195
6,471
9,371
3,590
11,316
15,221
10,377
8,385
7,457
3,590
6,471
9,371
5,496
7,457
23,110
24,80
5,496
16,195
10,377
4,513
7,457
5,496
7,457
4,513
4,513
12,280
15,221
10,377
4,513
19,142
24,80
37,25
3,590
8,385
13,267
25,92
40,24
7,457
30,54
52,8
8,385
3,590
12,280
42,15
3,590
25,92
3,590
8,385
9,371
14,234
7,457
24,80
4,513
16,195
17,167
15,221
4,513
7,457
4,513
46,10
17,167
10,377
12,280
52,8
21,141
16,195
4,513
9,371
3,590
4,513
7,457
6,471
9,371
16,195
13,267
19,142
11,316
17,167
17,167
23,110
26,77
19,142
10,377
18,148
19,142
