words,count
2,604
19,175
9,455
2,604
785,1
8,487
2,604
7,500
36,42
4,534
2,604
20,202
17,232
8,487
6,509
18,232
2,604
9,455
1,958
9,455
20,202
3,581
24,109
5,591
1,958
8,487
5,591
11,328
9,455
5,591
20,202
21,151
46,12
23,116
29,76
6,509
7,500
22,140
7,500
12,347
5,591
11,328
2,604
8,487
3,581
22,140
40,20
20,202
12,347
1,958
14,282
4,534
5,591
13,307
7,500
3,581
7,500
6,509
12,347
3,581
25,106
19,175
13,307
37,38
43,15
7,500
18,232
32,59
16,264
6,509
37,38
5,591
6,509
19,175
22,140
35,47
9,455
22,140
49,15
3,581
12,347
1,958
2,604
5,591
13,307
28,87
10,428
1,958
33,64
17,232
9,455
15,248
2,604
9,455
5,591
31,61
1,958
8,487
9,455
1,958
5,591
22,140
1,958
1,958
1,958
8,487
6,509
3,581
9,455
1,958
2,604
14,282
4,534
2,604
5,591
24,109
2,604
18,232
6,509
1,958
1,958
1,958
6,509
25,106
1,958
3,581
24,109
17,232
16,264
24,109
41,34
45,18
44,23
4,534
4,534
7,500
2,604
10,428
9,455
16,264
5,591
1,958
8,487
3,581
5,591
1,958
1,958
4,534
21,151
1,958
3,581
27,94
13,307
8,487
16,264
3,581
2,604
6,509
9,455
9,455
1,958
3,581
1,958
6,509
10,428
14,282
6,509
13,307
17,232
6,509
15,248
7,500
6,509
11,328
7,500
4,534
15,248
10,428
5,591
6,509
3,581
1,958
12,347
23,116
3,581
3,581
5,591
29,76
9,455
1,958
7,500
10,428
19,175
27,94
2,604
10,428
9,455
9,455
28,87
18,232
17,232
9,455
32,59
2,604
1,958
19,175
5,591
7,500
6,509
13,307
9,455
3,581
15,248
7,500
11,328
14,282
1,958
2,604
26,104
23,116
3,581
4,534
12,347
3,581
19,175
5,591
16,264
5,591
6,509
34,50
1,958
11,328
12,347
7,500
2,604
6,509
15,248
24,109
37,38
34,50
1,958
16,264
15,248
21,151
2,604
10,428
3,581
1,958
8,487
1,958
14,282
8,487
17,232
9,455
7,500
2,604
16,264
6,509
15,248
6,509
4,534
3,581
12,347
6,509
14,282
3,581
1,958
7,500
11,328
1,958
20,202
1,958
4,534
1,958
2,604
3,581
1,958
4,534
9,455
7,500
30,74
13,307
3,581
23,116
16,264
10,428
1,958
20,202
28,87
16,264
1,958
15,248
34,50
18,232
13,307
8,487
14,282
5,591
6,509
7,500
4,534
8,487
4,534
9,455
21,151
6,509
2,604
6,509
4,534
7,500
19,175
16,264
10,428
16,264
5,591
9,455
8,487
9,455
12,347
5,591
5,591
6,509
114,1
17,232
8,487
12,347
2,604
13,307
10,428
44,23
4,534
5,591
1,958
19,175
20,202
19,175
35,47
22,140
25,106
36,42
35,47
4,534
5,591
7,500
26,104
22,140
12,347
4,534
16,264
21,151
30,74
35,47
18,232
33,64
8,487
30,74
27,94
2,604
1,958
1,958
9,455
20,202
16,264
12,347
12,347
29,76
9,455
1,958
28,87
14,282
13,307
7,500
12,347
15,248
23,116
13,307
16,264
3,581
40,20
60,3
30,74
5,591
15,248
15,248
1,958
16,264
21,151
5,591
8,487
8,487
7,500
32,59
3,581
8,487
19,175
2,604
11,328
19,175
11,328
20,202
11,328
16,264
18,232
22,140
16,264
18,232
1,958
8,487
2,604
7,500
9,455
13,307
3,581
4,534
271,1
4,534
20,202
7,500
4,534
19,175
26,104
15,248
8,487
18,232
1,958
19,175
10,428
4,534
4,534
13,307
8,487
8,487
8,487
16,264
6,509
9,455
22,140
8,487
8,487
16,264
4,534
9,455
41,34
8,487
29,76
39,36
11,328
9,455
6,509
12,347
1,958
5,591
8,487
3,581
5,591
2,604
26,104
24,109
3,581
3,581
28,87
29,76
18,232
13,307
5,591
8,487
46,12
28,87
23,116
20,202
2,604
19,175
1,958
15,248
33,64
9,455
17,232
7,500
5,591
1,958
18,232
8,487
2,604
2,604
150,3
11,328
2,604
3,581
1,958
1,958
7,500
1,958
6,509
35,47
4,534
11,328
2,604
1,958
2,604
8,487
3,581
9,455
11,328
18,232
10,428
28,87
6,509
6,509
12,347
1,958
8,487
1,958
9,455
2,604
3,581
8,487
3,581
4,534
1,958
6,509
13,307
10,428
8,487
11,328
3,581
19,175
2,604
13,307
24,109
11,328
37,38
7,500
6,509
68,2
62,3
52,13
21,151
91,2
20,202
29,76
2,604
19,175
3,581
49,15
8,487
6,509
6,509
12,347
3,581
34,50
21,151
3,581
3,581
15,248
3,581
12,347
20,202
8,487
10,428
29,76
7,500
1,958
6,509
12,347
5,591
150,3
2,604
14,282
17,232
48,10
2,604
1,958
6,509
8,487
6,509
20,202
1,958
15,248
39,36
3,581
1,958
3,581
3,581
33,64
5,591
6,509
16,264
6,509
9,455
16,264
1,958
25,106
12,347
5,591
11,328
12,347
14,282
11,328
28,87
3,581
3,581
7,500
6,509
4,534
18,232
10,428
10,428
11,328
3,581
2,604
3,581
9,455
8,487
29,76
41,34
5,591
18,232
44,23
27,94
14,282
4,534
21,151
12,347
28,87
4,534
15,248
3,581
1,958
6,509
22,140
5,591
13,307
4,534
36,42
3,581
3,581
29,76
2,604
41,34
9,455
4,534
4,534
10,428
8,487
7,500
2,604
4,534
3,581
6,509
1,958
6,509
3,581
7,500
1,958
33,64
15,248
25,106
27,94
50,12
30,74
59,8
13,307
7,500
81,1
16,264
39,36
5,591
5,591
2,604
4,534
9,455
5,591
9,455
7,500
22,140
17,232
1,958
7,500
5,591
2,604
4,534
7,500
7,500
1,958
24,109
28,87
16,264
27,94
9,455
25,106
5,591
177,1
3,581
2,604
108,1
9,455
2,604
2,604
29,76
14,282
7,500
18,232
16,264
9,455
14,282
12,347
5,591
5,591
2,604
13,307
10,428
6,509
3,581
2,604
3,581
1,958
6,509
4,534
11,328
11,328
3,581
6,509
4,534
18,232
6,509
14,282
32,59
17,232
1,958
6,509
7,500
1,958
7,500
10,428
9,455
9,455
26,104
18,232
19,175
25,106
16,264
9,455
6,509
9,455
21,151
14,282
20,202
20,202
29,76
13,307
22,140
6,509
30,74
6,509
16,264
1,958
1,958
1,958
22,140
4,534
8,487
1,958
16,264
25,106
6,509
5,591
45,18
1,958
20,202
34,50
2,604
16,264
4,534
16,264
33,64
7,500
6,509
3,581
6,509
20,202
4,534
8,487
2,604
4,534
3,581
4,534
31,61
1,958
41,34
26,104
12,347
9,455
1,958
22,140
6,509
4,534
5,591
12,347
12,347
1,958
11,328
14,282
7,500
3,581
3,581
15,248
11,328
19,175
4,534
9,455
23,116
3,581
6,509
15,248
12,347
2,604
13,307
34,50
18,232
2,604
5,591
1,958
4,534
4,534
2,604
3,581
2,604
8,487
9,455
17,232
36,42
16,264
16,264
10,428
21,151
9,455
3,581
21,151
18,232
22,140
4,534
10,428
14,282
8,487
2,604
2,604
24,109
16,264
3,581
20,202
11,328
17,232
15,248
10,428
7,500
12,347
2,604
10,428
7,500
6,509
18,232
2,604
2,604
7,500
18,232
9,455
17,232
2,604
17,232
6,509
20,202
4,534
6,509
13,307
1,958
3,581
28,87
6,509
30,74
19,175
33,64
1,958
13,307
1,958
1,958
4,534
7,500
5,591
12,347
14,282
1,958
5,591
1,958
5,591
3,581
6,509
5,591
8,487
3,581
2,604
1,958
3,581
5,591
4,534
5,591
4,534
3,581
21,151
7,500
19,175
23,116
43,15
23,116
11,328
22,140
17,232
7,500
4,534
23,116
13,307
13,307
2,604
6,509
2,604
11,328
7,500
20,202
21,151
1,958
1,958
3,581
2,604
3,581
3,581
19,175
11,328
15,248
9,455
8,487
26,104
4,534
7,500
17,232
23,116
6,509
4,534
27,94
12,347
5,591
23,116
53,5
20,202
5,591
14,282
20,202
15,248
7,500
5,591
20,202
13,307
14,282
33,64
22,140
9,455
16,264
18,232
3,581
5,591
4,534
4,534
3,581
12,347
3,581
4,534
9,455
33,64
5,591
28,87
1,958
74,3
10,428
37,38
7,500
4,534
9,455
4,534
28,87
22,140
4,534
6,509
22,140
6,509
2,604
3,581
4,534
1,958
6,509
9,455
7,500
9,455
5,591
10,428
20,202
13,307
33,64
23,116
32,59
45,18
34,50
49,15
17,232
28,87
6,509
12,347
42,21
12,347
6,509
4,534
13,307
10,428
16,264
1,958
5,591
2,604
9,455
9,455
7,500
3,581
1,958
23,116
16,264
7,500
18,232
2,604
15,248
8,487
3,581
33,64
3,581
2,604
1,958
6,509
41,34
16,264
17,232
19,175
5,591
18,232
22,140
4,534
8,487
4,534
1,958
37,38
5,591
17,232
14,282
41,34
5,591
4,534
7,500
11,328
22,140
36,42
1,958
1,958
8,487
1,958
13,307
32,59
8,487
2,604
6,509
17,232
8,487
3,581
23,116
16,264
14,282
11,328
6,509
25,106
6,509
2,604
3,581
2,604
8,487
2,604
1,958
1,958
1,958
9,455
1,958
3,581
17,232
9,455
20,202
21,151
2,604
28,87
35,47
25,106
1,958
8,487
5,591
5,591
10,428
39,36
5,591
9,455
4,534
5,591
4,534
4,534
5,591
15,248
4,534
13,307
5,591
5,591
20,202
33,64
12,347
2,604
9,455
24,109
20,202
29,76
13,307
7,500
12,347
19,175
6,509
1,958
3,581
18,232
9,455
6,509
8,487
10,428
2,604
3,581
7,500
16,264
7,500
5,591
11,328
14,282
5,591
2,604
4,534
4,534
1,958
6,509
4,534
4,534
6,509
16,264
5,591
11,328
3,581
1,958
7,500
16,264
37,38
6,509
9,455
42,21
3,581
26,104
3,581
19,175
9,455
12,347
888,1
10,428
15,248
8,487
3,581
10,428
22,140
4,534
3,581
13,307
2,604
9,455
30,74
36,42
6,509
11,328
20,202
8,487
15,248
5,591
11,328
10,428
17,232
3,581
19,175
8,487
21,151
2,604
14,282
1,958
9,455
21,151
26,104
15,248
12,347
45,18
24,109
5,591
20,202
6,509
11,328
33,64
13,307
17,232
69,2
13,307
1,958
5,591
5,591
7,500
18,232
9,455
9,455
5,591
10,428
12,347
20,202
10,428
25,106
32,59
1,958
33,64
15,248
6,509
3,581
95,2
1,958
6,509
8,487
17,232
23,116
1,958
8,487
7,500
1,958
6,509
4,534
4,534
7,500
20,202
15,248
33,64
1,958
2,604
1,958
16,264
16,264
2,604
10,428
10,428
7,500
5,591
22,140
12,347
10,428
15,248
18,232
45,18
10,428
1,958
17,232
2,604
8,487
12,347
5,591
26,104
14,282
1,958
2,604
14,282
2,604
17,232
5,591
3,581
21,151
1,958
21,151
1,958
18,232
27,94
8,487
30,74
15,248
5,591
2,604
9,455
7,500
13,307
5,591
19,175
15,248
21,151
4,534
9,455
7,500
1,958
15,248
1,958
10,428
3,581
3,581
9,455
9,455
1,958
17,232
6,509
8,487
20,202
3,581
1,958
1,958
10,428
2,604
4,534
10,428
5,591
11,328
10,428
1,958
5,591
1,958
2,604
1,958
3,581
41,34
22,140
30,74
12,347
2,604
7,500
9,455
1,958
2,604
2,604
4,534
5,591
13,307
9,455
9,455
13,307
20,202
1,958
2,604
18,232
1,958
9,455
28,87
8,487
1,958
7,500
1,958
1,958
4,534
1,958
1,958
1,958
44,23
12,347
12,347
12,347
1,958
13,307
5,591
8,487
15,248
14,282
12,347
2,604
53,5
4,534
24,109
22,140
1,958
18,232
8,487
30,74
4,534
12,347
19,175
25,106
20,202
56,8
7,500
9,455
2,604
19,175
5,591
1,958
8,487
13,307
10,428
3,581
1,958
1,958
9,455
11,328
3,581
2,604
18,232
7,500
14,282
25,106
7,500
1,958
1,958
8,487
4,534
18,232
18,232
19,175
18,232
2,604
5,591
348,1
15,248
15,248
13,307
71,3
4,534
111,1
57,3
38,24
13,307
41,34
55,8
2,604
15,248
24,109
9,455
33,64
19,175
38,24
14,282
12,347
19,175
1,958
41,34
18,232
5,591
6,509
16,264
48,10
18,232
3,581
28,87
10,428
14,282
14,282
3,581
15,248
8,487
22,140
11,328
16,264
13,307
15,248
7,500
3,581
26,104
62,3
33,64
8,487
7,500
2,604
22,140
9,455
11,328
32,59
9,455
2,604
3,581
3,581
14,282
27,94
9,455
8,487
5,591
15,248
6,509
9,455
13,307
9,455
1,958
1,958
4,534
1,958
7,500
13,307
6,509
13,307
2,604
12,347
6,509
5,591
2,604
7,500
14,282
2,604
8,487
10,428
7,500
1,958
6,509
14,282
42,21
1,958
2,604
4,534
34,50
44,23
28,87
23,116
68,2
10,428
18,232
28,87
4,534
3,581
36,42
5,591
8,487
21,151
3,581
13,307
11,328
5,591
2,604
3,581
4,534
7,500
1,958
8,487
2,604
10,428
13,307
12,347
13,307
1,958
1,958
4,534
38,24
4,534
5,591
3,581
1,958
17,232
9,455
9,455
12,347
22,140
1,958
4,534
42,21
9,455
19,175
1,958
9,455
6,509
9,455
8,487
1,958
4,534
1,958
8,487
29,76
13,307
10,428
22,140
11,328
3,581
34,50
3,581
8,487
4,534
14,282
8,487
4,534
3,581
1,958
1,958
4,534
23,116
1,958
25,106
5,591
14,282
38,24
18,232
9,455
2,604
2,604
15,248
7,500
9,455
30,74
1,958
7,500
12,347
2,604
26,104
12,347
4,534
4,534
1,958
10,428
12,347
8,487
15,248
6,509
7,500
33,64
9,455
3,581
24,109
19,175
14,282
1,958
20,202
11,328
15,248
14,282
35,47
19,175
25,106
3,581
7,500
4,534
7,500
13,307
1,958
9,455
21,151
3,581
20,202
27,94
54,5
21,151
1,958
9,455
60,3
1,958
12,347
28,87
15,248
11,328
22,140
2,604
12,347
17,232
10,428
5,591
1,958
6,509
10,428
18,232
2,604
3,581
3,581
8,487
5,591
26,104
7,500
7,500
1,958
7,500
14,282
12,347
5,591
15,248
2,604
1,958
13,307
11,328
3,581
1,958
3,581
13,307
5,591
3,581
8,487
15,248
9,455
1,958
20,202
22,140
9,455
3,581
9,455
4,534
4,534
8,487
21,151
13,307
10,428
10,428
6,509
10,428
1,958
4,534
12,347
4,534
4,534
13,307
1,958
1,958
7,500
9,455
7,500
2,604
1,958
1,958
2,604
6,509
25,106
3,581
7,500
3,581
21,151
1,958
23,116
1,958
23,116
2,604
5,591
6,509
25,106
2,604
4,534
1,958
13,307
1,958
13,307
8,487
22,140
9,455
13,307
15,248
6,509
4,534
10,428
21,151
14,282
7,500
8,487
9,455
11,328
24,109
26,104
6,509
4,534
5,591
4,534
38,24
9,455
6,509
5,591
47,9
18,232
21,151
32,59
2,604
18,232
15,248
16,264
12,347
39,36
7,500
1,958
12,347
54,5
1,958
7,500
2,604
10,428
21,151
8,487
20,202
2,604
1,958
9,455
3,581
2,604
12,347
17,232
24,109
23,116
6,509
1,958
1,958
1,958
1,958
7,500
20,202
9,455
9,455
8,487
15,248
14,282
10,428
12,347
25,106
45,18
17,232
21,151
2,604
1,958
18,232
14,282
23,116
15,248
1,958
1,958
7,500
18,232
9,455
1,958
5,591
1,958
5,591
10,428
6,509
7,500
1,958
7,500
14,282
18,232
7,500
1,958
2,604
1,958
16,264
9,455
1,958
3,581
3,581
4,534
3,581
22,140
13,307
26,104
7,500
13,307
18,232
18,232
12,347
33,64
17,232
5,591
26,104
42,21
10,428
16,264
34,50
3,581
10,428
11,328
9,455
8,487
16,264
14,282
20,202
14,282
5,591
3,581
9,455
12,347
4,534
14,282
11,328
4,534
9,455
11,328
2,604
10,428
6,509
10,428
30,74
4,534
54,5
11,328
6,509
48,10
1,958
15,248
1,958
4,534
20,202
7,500
14,282
6,509
18,232
7,500
37,38
5,591
5,591
10,428
8,487
16,264
2,604
4,534
4,534
13,307
2,604
6,509
5,591
9,455
36,42
11,328
1,958
3,581
24,109
37,38
22,140
21,151
49,15
12,347
5,591
24,109
13,307
11,328
24,109
6,509
1,958
9,455
1,958
28,87
7,500
10,428
3,581
11,328
7,500
14,282
1,958
9,455
34,50
9,455
9,455
19,175
4,534
32,59
4,534
5,591
10,428
8,487
5,591
2,604
5,591
9,455
15,248
16,264
11,328
10,428
36,42
17,232
10,428
4,534
17,232
4,534
23,116
18,232
9,455
11,328
14,282
5,591
2,604
14,282
1,958
2,604
27,94
9,455
15,248
2,604
1,958
3,581
3,581
10,428
3,581
1,958
8,487
10,428
10,428
1,958
12,347
6,509
10,428
4,534
13,307
18,232
27,94
9,455
22,140
59,8
18,232
4,534
13,307
24,109
11,328
9,455
3,581
26,104
36,42
24,109
2,604
2,604
20,202
33,64
8,487
19,175
29,76
13,307
5,591
6,509
26,104
24,109
12,347
11,328
12,347
24,109
21,151
5,591
2,604
7,500
2,604
16,264
10,428
20,202
14,282
19,175
