words,count
25,88
24,107
11,288
33,60
3,524
14,245
22,107
18,181
36,46
4,454
22,107
86,2
19,150
17,195
12,283
20,157
15,188
36,46
43,28
6,417
15,188
6,417
12,283
11,288
19,150
26,82
30,61
13,253
2,692
1,773
9,354
7,350
4,454
3,524
7,350
1,773
34,49
28,73
6,417
8,371
3,524
28,73
50,15
12,283
8,371
1,773
3,524
1,773
1,773
2,692
40,23
7,350
3,524
3,524
3,524
5,443
2,692
29,85
2,692
1,773
3,524
3,524
2,692
7,350
21,127
8,371
3,524
4,454
19,150
17,195
11,288
10,319
1,773
4,454
21,127
1,773
3,524
1,773
14,245
3,524
24,107
19,150
12,283
16,194
2,692
4,454
5,443
4,454
9,354
1,773
1,773
21,127
10,319
21,127
25,88
4,454
45,30
15,188
22,107
1,773
2,692
23,120
15,188
18,181
6,417
3,524
4,454
19,150
18,181
21,127
15,188
28,73
50,15
22,107
3,524
1,773
9,354
6,417
14,245
3,524
1,773
9,354
6,417
29,85
17,195
24,107
10,319
15,188
10,319
1,773
1,773
6,417
17,195
16,194
12,283
14,245
23,120
34,49
9,354
35,44
18,181
22,107
2,692
24,107
2,692
32,54
7,350
7,350
27,87
7,350
1,773
8,371
26,82
7,350
2,692
3,524
5,443
1,773
2,692
7,350
8,371
20,157
5,443
21,127
6,417
30,61
8,371
21,127
19,150
8,371
9,354
47,17
6,417
34,49
26,82
15,188
5,443
25,88
14,245
7,350
19,150
64,7
2,692
49,14
2,692
47,17
17,195
8,371
13,253
25,88
8,371
14,245
1,773
1,773
37,27
40,23
9,354
32,54
7,350
4,454
1,773
2,692
6,417
12,283
4,454
5,443
2,692
17,195
9,354
7,350
1,773
19,150
8,371
37,27
3,524
1,773
18,181
10,319
6,417
2,692
8,371
3,524
10,319
2,692
19,150
1,773
1,773
11,288
10,319
2,692
3,524
12,283
25,88
15,188
11,288
7,350
5,443
11,288
8,371
3,524
13,253
3,524
52,13
13,253
10,319
21,127
4,454
10,319
6,417
2,692
18,181
6,417
17,195
27,87
11,288
10,319
2,692
18,181
1,773
24,107
20,157
38,39
2,692
31,72
15,188
8,371
7,350
9,354
2,692
22,107
19,150
9,354
17,195
2,692
5,443
5,443
2,692
18,181
34,49
4,454
1,773
3,524
11,288
4,454
10,319
13,253
16,194
2,692
6,417
2,692
16,194
29,85
10,319
29,85
26,82
1,773
5,443
25,88
17,195
9,354
11,288
9,354
17,195
7,350
15,188
15,188
29,85
10,319
9,354
13,253
4,454
10,319
12,283
45,30
16,194
1,773
8,371
14,245
6,417
7,350
56,6
3,524
9,354
6,417
19,150
5,443
9,354
19,150
23,120
57,10
21,127
8,371
20,157
9,354
35,44
27,87
19,150
16,194
35,44
11,288
45,30
32,54
33,60
18,181
8,371
147,1
8,371
4,454
95,3
5,443
