androidNL,swingNL,javaNL,javascriptNL
-1194.4983414482604,-1725.512958734419,-1877.767676327609,-1421.919637969052
-1408.084222968974,-1528.596677558249,-1745.463552262455,-1401.250100470472
-1477.4397256290201,-1628.296368526733,-1916.3078863622761,-1393.2646926956231
-1326.9526614185772,-1871.3860613023048,-1746.856471483094,-1271.1104013757877
-1374.4015199956982,-1434.3079517801434,-1711.2709270212188,-1604.3580720739028
-1372.116135990956,-1686.479970669856,-1431.2722559984854,-1602.333606722689
-1445.9323596803818,-1655.3589966223237,-1851.3714374302708,-1394.9376230689472
-1419.4733439226022,-1656.704059870085,-1737.6612630047898,-1492.9044136828843
-1229.602009551068,-1909.2603925868802,-1918.0551941867275,-1452.4934063678697
-1449.0709060087906,-1809.2388331361835,-1729.5391975457073,-1508.881486895329
-1451.5503040620606,-1625.9578034894816,-1859.6077858741623,-1316.940658071485
-1530.536873245985,-1702.6676679023049,-1576.5781479590232,-1608.9985725754104
-1383.9771544834682,-1678.1565547037433,-1717.5066608644229,-1396.7509858414892
-1411.841249031142,-1620.3414311790668,-1870.5684342847267,-1430.6551737115078
-1601.207357514449,-1501.4364869788117,-2047.7006292765375,-1606.9685600138246
-1594.9663231704162,-1689.272983907577,-1671.914283153642,-1373.9083069653661
-1320.8148292554506,-1798.2354895722438,-1838.7504500876212,-1506.0272263423892
-1422.130490350853,-1830.3774152949259,-1674.7404019749404,-1445.7862915752228
-1384.4908443762806,-1474.0283526369649,-1638.724028062661,-1525.1275311514696
-1373.0862566154815,-1709.7360342612874,-1549.7966496781742,-1358.187359954235
-1368.4149179517053,-1637.5020291040664,-1682.1382354604032,-1402.3928408932275
-1335.056719715472,-1660.8410840561387,-1831.5886107996325,-1406.3157798960328
-1391.6223458936265,-1507.2426741239772,-1713.018870476129,-1483.8725536928005
-1459.877182480853,-1788.3834538459778,-1665.6618276607835,-1227.4916882216394
-1237.4415046646463,-1811.4293427687276,-1867.1441767259098,-1340.0483851667732
-1644.8823115231276,-1897.4381818159954,-1582.4299908270873,-1575.0153011543584
-1427.3346650856415,-1609.5954087949085,-1757.474714956739,-1428.8247956294426
-1491.407741310372,-1900.4363173986055,-1768.4267664589074,-1526.8186353950846
-1169.4042525126163,-1877.1041920319294,-1906.2347253152893,-1381.6985249146762
-1412.3906869464113,-1875.0720058058905,-1413.7405676655835,-1828.9393035475769
-1609.1449644731524,-1706.2301466044664,-1914.6082177463263,-1452.923257716962
-1445.1910444202422,-1640.2546383244553,-1867.862600989226,-1530.2765478992312
-1383.9447902081806,-1775.5386590889777,-1717.8265846676345,-1413.8424329233835
-1448.3928564127282,-1717.37826698888,-1703.7962349988838,-1579.3663208835883
-1214.2317932623628,-1711.362089825177,-1434.851075774461,-1341.9622515578922
-1492.9493726632552,-1565.0520285376285,-1784.3129949764166,-1157.533189998763
-1332.8703862769023,-1696.0669978424621,-1828.97880919389,-1458.7805214832874
-1480.7372973242889,-1598.5996928761062,-1970.0136443327658,-1499.8745376538802
-1417.2651162551088,-1860.757430288248,-1853.1430046652215,-1393.3454888142332
-1301.078692440948,-2050.0343399655135,-1715.233626004293,-1149.416800405674
-1342.3117537757098,-1490.2554920262185,-1756.647007294914,-1504.435000645829
-1048.0740820463875,-1595.381539325394,-1575.58080154884,-1378.6536067496154
-1272.4850611310046,-1657.556074409812,-1700.3794329971875,-1448.1420284607748
-1418.1094058690937,-1462.0929676919698,-1684.8963233815184,-1441.3316651488658
-1597.908634522565,-1295.4268512072813,-1553.131913033224,-1215.8506574588864
-1287.0490708160364,-1582.0846289580304,-1735.0751434720432,-1338.994581792078
-1307.8001799385634,-1547.3340972113706,-1600.2855316161617,-1415.7086237639921
-1297.8356055132422,-1554.4421688978496,-1743.5407234962227,-1472.6874027437093
-1471.482464456051,-1642.1748789913522,-1488.4916362338308,-1454.2899458561865
-1448.8466638159337,-1764.0678738558374,-1733.3497756362046,-1439.9382966165094
-1792.3848860905746,-1737.249038097178,-1628.4367330761859,-1294.8858021133105
