androidNL,swingNL,javaNL,javascriptNL
-1533.538179731768,-1718.5585896550451,-1670.8384623072066,-1436.1338017926307
-1467.2171502147862,-1698.1130694720719,-1457.4861884821844,-1589.6084641422872
-1435.916694947064,-1639.8939602013131,-1515.8209490299241,-1552.061883385559
-1633.8899545839383,-1992.0238604596757,-1417.7264361836108,-1369.9154412483383
-1503.3615815856824,-1495.3785030470071,-1424.9396557791256,-1579.588974600263
-1376.222937980594,-1383.3132985354696,-1506.751508452217,-1729.9360136246248
-1097.3112071673609,-1814.4016742640615,-1439.7655999975018,-1555.1406216142927
-1354.392280210384,-1457.8277451697113,-1643.5521709934699,-1772.2658201504305
-1523.2940854380743,-1446.0675628868332,-1598.0878692301806,-1612.3748353096748
-1268.676408352594,-1500.2796864276972,-1759.7819842800025,-1557.9967172105999
-1616.156839951172,-1495.2627337401689,-1382.2636403242846,-1659.8136410990005
-1512.2409136032375,-1730.3525870471287,-1644.825192678818,-1636.2958338406092
-1464.9194174125528,-1711.24657989487,-1655.6576833384988,-1635.636643234734
-1509.4109326847124,-1521.7454501798343,-1568.315525095058,-1457.4460902556357
-1240.0338317419587,-1763.4693276143053,-1524.7645149881992,-1589.612240930568
-1436.4324280496576,-1695.2370448340237,-1455.5170362936506,-1562.9027263848384
-1453.1500269065568,-1791.8749644770978,-1446.0968631891608,-1571.6249840610335
-1564.8378028400782,-1699.6323595257695,-1381.6300547945518,-1701.8016515010995
-1518.0445451965215,-1939.858096222975,-1319.650039923116,-1626.452119132633
-1612.0531450151082,-1782.9815486652237,-1448.8280925317813,-1368.0734017128311
-1612.1361827112642,-1442.2821189895053,-1685.6362956800572,-1595.818746233014
-1454.1423892637742,-1562.735509084197,-1657.931604850935,-1515.7387865199298
-1550.6904865341555,-1799.252981489533,-1387.2786724866974,-1520.3952780226882
-1533.8091040392233,-1589.601562169867,-1658.8734260696308,-1742.4337965468953
-1516.0284759308443,-1672.7291904987867,-1685.4940795593523,-1534.5471035506393
-1579.4053595321527,-1315.627402098376,-1328.768510214208,-1244.6120927739355
-1515.005242836279,-1723.9872731114704,-1256.3638283741052,-1552.1179764147241
-1498.9941332092997,-1566.659220124143,-1546.181928442081,-1499.8469837377745
-1253.861921974008,-1544.4272099590085,-1443.5553480402878,-1494.0301819537297
-1483.1200045533244,-1704.6794474638853,-1552.9316765134213,-1447.8329710159285
-1441.2078637197915,-1679.1163501749631,-1471.1419980138785,-1528.7599866126088
-1268.6378344843022,-1347.4388398922733,-1133.6174301420856,-1712.5421504023775
-1503.3832459471737,-1698.8686227975295,-1386.783200622144,-1508.0145553374123
-1644.1261577508903,-1714.1996196187295,-1428.2409924074718,-1412.0737973735418
-1506.1960536770218,-1548.3498578727576,-1540.9540747210708,-1661.1314572319245
-1330.882192279183,-1487.6889765143333,-1587.4679695846287,-1594.0802240065766
-1518.1460738605588,-1575.278639288366,-1667.1268073575677,-1642.1698888060805
-1446.245467336826,-1560.5390842048819,-1506.9279706019165,-1628.2357287268355
-1701.482108110696,-1695.0759199211193,-1340.8350111650666,-1676.2303528083296
-1465.8002191562305,-1575.6067298102982,-1554.2899135500666,-1575.501917792355
-1559.953993113676,-1533.7140096862427,-1674.465144266488,-1589.2394927890052
-1565.7869937118298,-1374.066846980836,-1500.1769428812727,-1613.606706728638
-1513.5733940327968,-1598.5276820029007,-1657.2392897377374,-1566.8920732075132
-1263.4409525659435,-1597.991507991488,-1553.9040729916983,-1476.1603497675405
-1692.8037843955458,-1616.4243025972507,-1501.8553901946038,-1583.9864266029972
-1108.0507031261045,-1641.0705762175253,-1515.8523665785951,-1553.6820282367266
-1368.7448295524941,-1727.9560480911164,-1553.1240363837562,-1641.583379269557
-1507.534152509521,-1730.7683267639968,-1722.234962860131,-1825.5238063549746
-1637.0242604963105,-1893.831097422361,-1549.4893985093297,-1463.6953076338896
-1549.2549690502797,-1732.9927950780077,-1390.2959624880782,-1625.491242781361
-1447.892127284744,-1557.65861656909,-1559.1784301910739,-1816.7450586601788
-1445.7626840816533,-1419.8039626007778,-1567.5474442261825,-1581.9027174829762
-1482.4148254287416,-1641.0867553013395,-1640.622720969337,-1310.9047473329283
-1364.3669719159402,-1476.129085318581,-1570.8163750889219,-1375.2126847580114
-1702.9628691207254,-1483.1045659524402,-1563.8087488774188,-1505.671580600415
-1611.0719219582525,-1544.7164682471448,-1649.7970854048822,-1531.643703679534
-1343.0775438103992,-1567.8247487897675,-1399.9558398786025,-1575.3532737203905
-1317.4540753832725,-1492.9586740241236,-1596.9811914234347,-1382.3970873978042
-1418.0901726700038,-1518.4424933480905,-1282.9888651863866,-1665.3419387509023
-1432.8337659439774,-1762.8998202158664,-1597.9693396188463,-1617.5045008820262
-1547.7588916415593,-1665.5955933843534,-1835.411647252868,-1654.288385005556
-1521.4963985742766,-1657.5449062477983,-1444.6366995219366,-1663.8609051214291
-1334.8143963865737,-1661.246192761646,-1669.503971720007,-1575.7560154685107
-1659.1092394285436,-1699.3653928459762,-1548.9129939942195,-1571.308624927674
-1383.281657372778,-1588.7036507477824,-1791.0523457593536,-1531.6186669584577
-1612.670284898443,-1555.9099159249165,-1632.4005653830563,-1300.5249531658378
-1563.34645208065,-1593.0285144954787,-1439.2175792106173,-1580.431417601539
-1573.9186001451067,-1474.9636430126006,-1398.4308682446344,-1458.6980865254773
-1441.3318625289626,-1610.6736761673592,-1549.403466556021,-1623.2663017331356
-1537.3321065599812,-1551.9437828590771,-1705.2291357111712,-1636.2871246655309
