androidNL,swingNL,javaNL,javascriptNL
-1023.3909444054835,-1166.122434411896,-1410.1161169218901,-1278.6392702190778
-1244.8322105674692,-1436.7817416972446,-1308.797390251614,-1285.7812537401132
-1345.0296585806682,-1177.2434795180386,-1340.176368473689,-1222.7668387695546
-1209.2181418032426,-1111.3774923144147,-1394.727893201441,-1044.4380619995886
-1238.586228242424,-1278.292698287138,-1070.6363714754539,-739.4081750114303
-991.228419719416,-1153.5568002747095,-1604.5787482492128,-962.9370262553389
-1166.1019814404226,-1050.847723860923,-1402.6381344951124,-1021.7426651935075
-1044.5794956151558,-1084.6496630377278,-1262.5794091554155,-983.9393464640125
-1217.3475012768668,-1163.0708833400308,-1460.0462799356364,-1301.3836796772248
-1247.106192448241,-1329.9440708689635,-1438.1893131386619,-1030.3972505704264
-1240.633093457773,-1291.538799430357,-1317.0386825964806,-1164.09366423124
-972.6785063168135,-1380.692305301705,-1320.2497614742504,-1156.7323380187277
-1301.480092108071,-1129.5391662002908,-1345.5028458999293,-1142.0508883934826
-1291.8932514989292,-1286.7383192143393,-1321.8796509334447,-1188.5077762641304
-1296.1383986603557,-1026.4238505563665,-1443.4883519328096,-1106.383938768309
-1013.3354843701538,-1343.788128958506,-1472.1848366438498,-1196.6122038980202
-1281.7213875377033,-1159.6137490756964,-1258.5804556159417,-1143.4810419019702
-936.2120060790955,-1554.9260385782186,-1316.4728439493724,-957.4556354916417
-1221.0218033948754,-1314.7899799943432,-1525.161947417123,-836.21143286899
-1424.0929708005783,-1164.5005152542415,-1417.6148530791318,-1058.3109452936753
-1303.930859274481,-1249.5720773656083,-1192.309199532981,-1179.5510111432927
-1231.5635090390786,-998.126271924378,-1489.5013748335716,-995.1961988872338
-1300.8222001777112,-1220.2099160408623,-1062.5890029724756,-980.6752481118931
-1220.8757076447318,-1247.55758340979,-1264.8170165714594,-1080.6802464363748
-1113.244825702323,-1230.5712764439581,-1523.0715405046199,-1129.7209938224887
-1269.1594254341767,-1315.6750314358515,-1379.0243803980661,-901.2358584668921
-1105.328502623243,-1170.752918308147,-1464.7051962577818,-1036.7358615317826
-1211.4075249606421,-1257.2694329895232,-1291.297728510162,-1091.887488489093
-1094.6719459993246,-1298.42081320514,-1340.4320734150424,-1036.4609450908147
-1119.5136244485946,-982.240223337873,-1468.2339514443615,-1136.4853357595896
-1196.608429815376,-1533.3536447350853,-1499.4466700212388,-947.2647695076912
-1231.982670438992,-1071.8201046839208,-1461.667694345198,-1093.8514386743577
-1120.2482163866662,-1192.3534045333213,-1181.2232911864248,-937.539759213584
-1238.8749337264999,-1253.2771028220864,-1653.3670339038708,-982.9401384101218
-935.4361806952807,-1568.9083172365577,-1171.1211636303556,-1133.0763909218572
-1267.849319020791,-1148.9622162279434,-1405.5716380743183,-1131.528491389101
-1365.4633940778767,-991.7820609983789,-1413.3715930608078,-930.2012939847377
-1248.243761951291,-1088.4972263548038,-1588.6992003652554,-1288.5208630175457
-1219.3610460167974,-1172.1795198250882,-1410.9228411552494,-1049.9733946947194
-1228.6182570952865,-1122.4306295153053,-1438.0206750543828,-1099.7138595989213
-1197.2855493833354,-1193.7731304908727,-1153.688039819156,-843.6227524984206
-953.4629378563961,-1456.6322270630844,-1388.1297957105003,-1211.193983179298
-1218.0295795095458,-1111.654307063128,-1006.5793663514063,-1133.1985276913274
-1086.916556690951,-739.9529236673493,-1325.6403190866752,-1012.2382547964229
-1299.6629959086742,-1431.8547455098028,-1322.40643374183,-1002.0823922610602
-1083.8552869255482,-1120.902108574836,-1411.2037195839598,-1280.1364915809163
-1363.444653924931,-1306.3236289239103,-1458.3835955360728,-1205.0014266592627
-1192.9872242094502,-1273.566924072125,-1390.770498859546,-1219.0538049739241
-1069.8795707229292,-1236.323169485956,-1674.558575224289,-969.4775759518974
-1379.9865037216491,-1252.615753932705,-1265.1609573571764,-1148.9670776396147
-1364.0969789966948,-1038.2826639965017,-1249.5597224343562,-1118.533761158571
-1279.4709546832567,-1147.4615435711185,-1190.1508016743082,-1038.4327597529748
-1148.5054655696063,-1126.324372090925,-1484.1410332332453,-1293.4279703480752
-1120.863107197085,-1240.5158081278464,-1497.1620787132272,-1250.5494263795335
-1207.9583578927218,-1261.4459187921198,-1245.6434687042065,-1227.314868430633
-1077.9496564950314,-1096.1487196106266,-1294.9030332806656,-1254.7037319328088
-1405.829303321792,-1336.58886238774,-1197.2335748162723,-1093.8041709642287
-1206.8422201697051,-908.9331166775505,-1294.7593064808389,-1354.0990226928477
-1317.6633077404513,-1290.3582310043728,-1324.1528501349394,-1166.5436189038255
-1325.5282946249183,-1084.2934328609242,-1389.2158664654044,-1097.0571345532644
-986.4790980293012,-1200.2797466525462,-1297.525082414126,-1051.7138076577717
-1294.4359155661261,-1303.5499814562754,-1176.7246757360783,-1185.9767988454796
-1161.6295594376934,-1208.536231659431,-1103.7920964213615,-1196.4002080280811
-1235.629289018289,-1095.3044847927333,-1360.6125850319772,-1162.8748689493077
-1172.7281391056897,-1408.1376246477516,-1474.8483392932394,-1067.961264544313
-1145.106716336358,-1272.3517609654837,-1470.4565017558687,-1145.7514469071734
-1409.3536650713454,-1213.9248129870361,-1300.8367599808248,-1003.1195719394815
