androidNL,swingNL,javaNL,javascriptNL
-1268.7914807905518,-1321.282816377507,-1241.3509596217873,-1273.3841136056676
-1232.627087711617,-932.5496273039769,-1321.6736932747226,-1280.3607860719344
-1411.5234483310765,-1351.2405882611868,-1248.8582263563517,-1316.3635280042772
-1347.5940017644657,-1106.949261574599,-1365.9796543234352,-1305.0095695219275
-1341.7136145200304,-1327.8622553229084,-1133.9698522574572,-1176.7873037580214
-1242.3833867587796,-1240.9041018324438,-1411.4507860249998,-1414.8714183905922
-1267.3544863334614,-1151.3967365766214,-1392.8700791999622,-993.0562853476513
-1356.3668339891992,-1277.6842450896606,-1234.544690393131,-1175.5628678809026
-1435.0665335456604,-1149.3764627873493,-1430.145957481844,-1119.9700773754305
-1426.7443835496797,-1040.0722612178101,-974.8122417745881,-1200.8530982209227
-1250.4179969050908,-1092.1752364755243,-1160.736967341005,-1168.141962707738
-1300.8354033543624,-1006.6173526324498,-1337.5004439790582,-1121.5005036877385
-1431.0308100605332,-1217.0997581554875,-1429.727270669914,-1216.4494056688256
-1244.415804660772,-1121.9554895308113,-1320.4655428404915,-1372.1905592520202
-1324.437291418331,-951.1722264298924,-1164.2787150628787,-1229.7583417045482
-1137.5647139102912,-1142.0511054812255,-1224.5842456336877,-1096.7322792538364
-1209.0219689243727,-1235.1477978717282,-1284.5793399638592,-1190.1836388578622
-1091.3841433510045,-1119.2782703659939,-1535.8394010856548,-1284.7405913823015
-1264.347990150701,-1139.0605936120119,-1299.9279056866962,-1258.091522405035
-999.8994235235763,-1161.8327516441875,-1067.2772452701024,-1239.3348627225237
-1345.7141803521909,-1221.1029427457581,-925.324226135584,-1367.4761900875628
-1303.0561594466851,-1211.3323591928001,-1178.8794462320857,-1193.519005741177
-1312.4805719484625,-1393.901013124988,-1175.3416360654678,-1232.006462377275
-1050.6292078762276,-1060.0555121248408,-1096.3262899150645,-1017.6782192235034
-1319.9266185133142,-1108.4403270871364,-1193.8092876788123,-1302.7378954904095
-1352.0524687673947,-1375.017530803951,-1168.2467054798656,-1223.3677241453902
-1302.808083904221,-1104.0728506880575,-1064.3262209109057,-1315.2971243628942
-1112.7356643828066,-988.7613316055304,-1189.9692505109497,-1201.5676788719682
-1212.0085397925704,-1004.7439463443574,-1169.3319959460605,-1361.1911782171856
-1250.994231079532,-981.3223110504942,-1161.8067593254177,-1209.3721514998824
-1153.317041321869,-1171.1003970496922,-1137.6815562423467,-1161.1127640073169
-1320.590677476255,-1461.5238771395766,-1232.4291716742505,-1243.8515783789712
-1207.2167760403568,-1070.9309980414118,-1259.538860404198,-1330.8881566261794
-1228.2238322326748,-1303.9028554842375,-1078.7686816744952,-1116.690687100759
-1156.5877481390064,-926.4909582504235,-1106.6069863039806,-1598.5266686023572
-1126.8531427694077,-1094.8729851540209,-1242.0456950939897,-1251.630367746611
-1157.346460135723,-1017.1943292930529,-1189.1296807461495,-1031.5176123546116
-1268.2380755701856,-970.0147324738864,-1236.4674444543584,-1430.4284797855769
-1280.8220143868587,-1258.7772957235659,-1308.6410367965993,-1078.2275568131008
-1368.8735084504547,-1068.8855743540535,-1077.8919325064694,-987.4557950627423
-1071.412410035671,-1182.1780879084108,-1143.044791567733,-1403.5279704587856
-1160.4397388797274,-979.7590383624481,-1486.4169998690359,-1336.2078486874018
-1426.5552085601657,-1192.001432619893,-1469.6374888924195,-1289.5105655411792
-1336.0476890771527,-1204.479084044475,-1091.3160014071116,-943.6425168290401
-1179.9268113143255,-1264.2864982169388,-1250.5727826487273,-1104.2412110862676
-1301.0485848364458,-1111.7345195147382,-1075.7805279317226,-1119.9611255980283
-1335.9006307250631,-1250.973868624406,-1055.720122378721,-1215.6321375757448
-1292.5275470446527,-1153.0168755600687,-1191.4554589260254,-1155.8852009410293
-1006.365222828914,-1141.477270227302,-1253.6998198716885,-1456.9636213944418
-1361.5383133319617,-989.8977736283082,-1356.952050794202,-1134.2331587814451
-1170.3766060708926,-1183.7067730290123,-1211.4469321568772,-1230.8623632634615
-1080.2753605333237,-1221.8378037365737,-1255.566707844336,-1328.197467997873
-1217.309526613787,-1175.7134916061896,-1188.13252646191,-1288.093571903732
-1151.803810000058,-1388.2982346509948,-1331.0139511445752,-1112.8842728966547
-1037.7300033217514,-1161.8220799619255,-1203.4169611376758,-1183.7973446051924
-1191.4568124723194,-1181.6437828450416,-1101.9654060355022,-1016.8281975529301
-1162.1532650280242,-1033.6537783003057,-1227.40059291918,-1082.0735465294765
-1344.5815025161455,-1029.1760454462153,-1232.1786164854134,-1122.42492330931
-1258.3045417465023,-1027.493045872825,-1037.632269277185,-1011.6887484758624
-1096.7452880711244,-1344.5203237629212,-1273.5686452580203,-1153.0783874603758
-1315.07909903782,-1219.0290616691962,-1241.1462593479523,-1176.6852505572795
-1440.4157068384425,-1054.9767845915712,-1164.9338073980007,-1212.27485616525
-1248.5027904876815,-1250.9855925843995,-939.5680549390628,-1335.1179374713279
-1263.8422329567131,-1306.225905241218,-1327.0611959785729,-929.1710534573798
-1167.7371071059686,-1218.6875364824891,-1252.5648638163962,-1168.3129151121627
-1133.1102411168044,-1118.428828932196,-1101.357038459112,-1121.7650465878564
-1149.109508873065,-1174.9794515644717,-1298.3318002521903,-1031.3691829965085
-1333.933496811861,-1048.837781951446,-1319.17299360373,-1169.1334454083508
-1098.09020288365,-1126.8762449254211,-1255.0180362192682,-1341.8443665674006
-1342.8923523131198,-1256.9766718067717,-1304.4254534614079,-1293.6269559225398
-1355.2333233514019,-1357.3658623332365,-1384.5694857586232,-1182.0198925829939
-1091.1983528439112,-988.3784359739113,-1249.1997101444695,-1268.2340830929109
-1509.613133812884,-1104.8127171963404,-1383.2615591233364,-1240.5170509482552
-1135.0621650699468,-1121.3286715426414,-1428.6640719698726,-1162.274246137127
-1302.4349268727044,-1195.7708100655539,-1279.2783926206316,-1368.4526933993893
-1229.0157137898423,-1009.9225944788531,-1291.2776025452092,-1166.9311561215168
-1227.2570661413877,-1246.6289272495505,-1123.8729952024605,-1360.866221975258
-1361.7910005981116,-1185.1476110241686,-1291.4402457232304,-1105.777223935668
-1042.74828843722,-1211.02537453701,-1271.8133368770955,-1352.3389651873856
-1186.3510096848127,-1038.8743219269845,-1287.3625397262892,-1286.7782854349998
-1097.0449851351568,-1237.0113633667709,-1213.47153591663,-1184.8177340648633
-1386.3670376603125,-1164.1680295225997,-1115.3811485091128,-1063.6032546422257
-1183.5884733226678,-1030.3463126069184,-1241.7797675197837,-1293.8787813795416
-1029.6316301106235,-1078.414401674852,-1269.981559378767,-1506.9313394860164
-1228.8392094977403,-1166.3262309950578,-1261.9228741057154,-1098.6397115900272
-1145.402760270853,-1205.2142488672064,-1311.8222735332984,-1058.0148426139763
-1367.8299558040833,-1199.0242585277877,-1332.1494311981637,-1011.905408567559
-1362.1339705576365,-1186.6865007517329,-1211.1929037531036,-1154.1704814662282
-1345.101048330508,-1166.5302072889435,-1248.001566879101,-1333.618246544276
-1111.8811413814726,-1109.9337825423231,-1181.8812860359296,-1183.8378145991458
-1094.9707214160144,-1292.191591061253,-1233.4614440485855,-1386.1592456614903
-1382.3125070686174,-950.6737915182943,-1105.313281781217,-1332.696794699969
-1132.4015396575842,-912.5103996122197,-1404.2120998694413,-1190.2024503413504
-1300.5329595759292,-1306.8546798658722,-1073.354004646623,-1052.9550755419575
-1251.8881744549358,-1417.7302676055901,-1262.6909884255128,-1247.0965526023508
-1369.4945840785895,-1248.2203556691056,-1358.490583071536,-1342.0656804600553
-1290.650283831662,-1080.104817691122,-1176.2202635727372,-1152.9684993548342
-1408.023125611453,-1225.0160960960332,-1281.0469686248114,-1062.3648149989685
-1337.5410214823391,-961.0156947595705,-1387.7445988973218,-1232.0640058905062
-1036.6321468018718,-1252.8820105707862,-1328.3061077925333,-1348.4452787875573
-1287.7492015948897,-1034.7126785639014,-1287.9193328395484,-1063.1882727188786
-1149.5534408819879,-1015.168969068948,-1284.2539223863018,-1259.532821810154
-1204.580590105679,-1242.3169766540682,-1273.5673794164977,-1300.8374593655699
-1082.5265681854726,-1037.5827702726592,-1376.2784844224075,-1142.9397457918317
-1469.7349981826123,-1270.515462543461,-1092.1874094812426,-1180.5798947953042
-1376.1266291222048,-1202.086986134347,-1166.3628641013638,-1169.2707686726283
-1112.6426425604002,-1105.8076013007542,-1235.7408215712678,-1257.8628722757762
-1278.8272709298226,-1190.4458102399801,-1218.1026115185532,-1193.7821772197808
-985.5056228183448,-1247.6692102479842,-1193.0968658446982,-1237.4055625857773
-1107.7650469330883,-850.7447733419584,-1294.4286835847201,-1304.00965642744
-996.5560017424158,-1078.7050132739432,-1299.8644973076111,-1336.3743356070208
-1189.9271379097977,-1231.483540399755,-1252.0389853425424,-1213.6097060002126
-1347.8331450107153,-1278.9397096797866,-1166.9652154149153,-1338.1648612366275
-1484.3953540873763,-954.1624929925435,-1229.2341958788818,-1317.1717068453154
-1214.2465422214802,-1317.2231610011931,-1290.2218302898457,-1134.8399667503259
-1332.3978173196074,-1269.0117294825359,-1265.7107587282119,-906.8098432584754
-1257.144841188894,-775.6848172370865,-1323.7593773568485,-1404.6940851621857
-1256.9561484825917,-1061.1257333609433,-1229.8475865787896,-905.3528645852012
-1198.0576030718248,-1463.667386280587,-998.3695494896683,-1371.0620919017435
-1350.1277329573372,-1179.6851398404656,-1252.21234233104,-1297.4427411300937
-1269.8006410534474,-1163.9929815106434,-1489.2412727546557,-1178.0503450592755
-1211.842816814841,-1172.1166613312266,-1330.5501935128375,-1184.056327249821
-1344.0636297533792,-1251.364458482203,-1123.8785690894692,-1175.0980487813854
-1346.2322480900896,-1350.3670037721317,-1190.7619072368743,-1291.9227320527195
-1357.4826798152194,-914.0632643400234,-1172.0055216188593,-1099.6720126545317
-1361.2021222544652,-1105.299827568528,-1272.6235588823395,-1089.7951473589242
-1141.6984739870513,-919.4085535351027,-1192.4559316943553,-1142.2542546220807
-1376.8134436368528,-1088.731898321535,-1279.6905338024133,-1153.7041188273497
-1159.07137957005,-1178.4899746676501,-1268.5431829017282,-1090.789353438423
-1429.6934247811841,-1087.1834551388688,-1251.8127497046114,-1259.514954088192
-1117.6675980258628,-1383.8660177107527,-1027.7875410085092,-1286.5627224245845
,-1074.8115684289205,-1146.2024819826684,-1319.8842014592997
,-1020.5222568126406,-1336.7211726434575,-998.4663311753646
,-1234.5669359213823,-1141.6187105391189,-1198.9458136272578
,-989.3992450057988,-1192.7952887556253,-1304.0864210814134
,-1097.511003096211,-1457.556199423572,-1277.4559785294323
,-1082.300691098826,-1114.846639420517,-1050.1850456226275
,-1302.9147119384472,-1372.6067381827584,-1310.651677808888
,-1271.8345645369789,-1209.0536917110699,-1062.6235138144618
,-1046.1223152254493,-1399.7691414397511,-1205.822615266031
,-1092.6325604572457,-1205.6653020559716,-1181.6307384774527
,-1012.5566216642042,-1314.5385580807792,-1167.8142438297136
