androidNL,swingNL,javaNL,javascriptNL
-1267.5948148825798,-1555.4938420463084,-1725.6505763759315,-1506.2250061065229
-1132.177754971833,-1432.6998688481553,-1763.3168308495256,-1176.3133987539093
-1417.0906892613293,-1501.0555365562427,-1685.3995306082566,-1467.777920643289
-1439.5555912008103,-1498.8270627774896,-1725.0237444509507,-1103.3739911009045
-1263.5147674375112,-1427.8321509691536,-1724.9925785137266,-1455.016513066549
-1494.1074566486677,-1589.697104847385,-1590.0612919763832,-1096.5864875073034
-1484.2713945429387,-1630.375957963871,-1936.1909588837584,-1271.2285983902984
-1269.2056473228558,-1720.9997899022517,-1680.9536739433665,-1436.8453648210368
-1199.8398445241446,-1407.9611645259258,-1577.8669967310184,-1591.093162662344
-1495.0471965666507,-1480.1150898285448,-1749.6702400129416,-1327.4357987329208
-1464.4884043040333,-1464.723771182391,-1741.8663240660894,-1316.544528705399
-1531.2086531964414,-1454.858562288106,-1570.6339370688465,-1438.414013594736
-1496.8719919019436,-1482.7629136551018,-1588.9640661773574,-1305.7673675019935
-1460.2802843965496,-1551.3558963343648,-1680.6774764226143,-1402.574355369476
-1652.1326058228324,-1507.2306447382603,-1664.2971360160727,-1501.749937868404
-1391.978700210753,-1524.0650095242568,-1672.8554711836227,-1263.6138241228377
-1336.1588330469542,-1601.9357899889624,-1406.6116311374722,-1350.6060689201531
-1430.0291287086945,-1636.3901763128963,-1684.2964717530333,-1251.0028349728002
-1412.4140564269214,-1531.6071296184055,-1577.7152389830933,-1408.3206523277518
-1457.7341225608566,-1399.443893594564,-1510.5385708975045,-1276.5482276131938
-1420.6307332749889,-1712.7203992302266,-1628.4712598954052,-1397.590302496379
-1299.630472762466,-1736.2351241913134,-1873.6329204761512,-1411.3123766494327
-1280.13300419826,-1328.1590286170203,-1688.732363851244,-1419.556903916609
-1506.4157308216331,-1814.6994040442314,-1512.0392821842258,-1151.474379380501
-1250.8390378108088,-1455.390100111069,-1823.4435742505884,-1275.6847791941157
-1411.8382879576939,-1599.906984281246,-1599.1382177526234,-1385.8591835909326
-1430.7483927389844,-1653.2815231788331,-1596.8225148201113,-1481.0944022204537
-1451.1210813731534,-1512.1750712613002,-1826.3127231202727,-1499.4811970873952
-1476.9117818788068,-1496.9518493301566,-1921.4656457869805,-1405.6649293845871
-1490.196199132918,-1651.5121546151527,-1490.9103814968967,-1463.8990567984083
-1365.5911137590558,-1616.9948867166454,-1723.9159435337288,-1510.7671901418544
-1524.1440663029905,-1507.5941885860911,-1709.7580802309071,-1044.0304058889283
-1331.345233866115,-1596.5332242925992,-1821.8491305773787,-1371.2691250283397
-1443.1155423620735,-1307.9909458742766,-1805.2614757310412,-1082.1319453786673
-1339.9048706686967,-1564.6540535264269,-1570.7709556579644,-1314.922821831704
-1374.9090751545873,-1478.4945469155364,-1811.3480002302244,-1242.7832830314958
-1403.7344524612938,-1517.6294754084433,-1565.1634925985843,-1265.1684044115398
-1352.981814286696,-1635.0348153589553,-1837.67775401597,-1334.6881343022658
-1446.2169202765288,-1736.7151747098596,-1835.8239724677915,-1330.8062229015513
-1395.4481615982613,-1343.8400561661392,-1600.6690134397218,-1067.8764074332676
-1307.6931123739798,-1562.1804470916668,-1741.8036728528227,-1578.96449397156
-1186.1236502010643,-1578.1473863665242,-1708.2455434670705,-1314.262328226902
-1347.004419693857,-1451.8352730424942,-1792.532627295955,-1378.6130682317273
-1558.479622786886,-1374.3076395671037,-1804.0357255916,-1420.547910306825
-1394.8970219917749,-1228.8286657630633,-1741.032240315667,-1247.9896909601043
-1388.99301312051,-1544.217932585562,-1838.064627394535,-1215.8264193831483
-1211.8235077454854,-1596.7380858785577,-1616.6485788025177,-1479.6397969367972
-1163.5200156625679,-1494.319719399041,-1673.5679201662551,-1400.327502704216
-1552.494743352971,-1543.0751077836912,-1624.6191188999576,-1453.517738027035
-1487.3156519997176,-1269.868122871835,-1615.473080319974,-1330.3732599718
-1451.5441943638525,-1545.6689600106863,-1490.1941360804526,-1308.3094895736235
-1292.6642426196584,-1328.751081897317,-1824.453956597533,-1176.813266077761
-1480.4450459905288,-1636.0517681195192,-1690.5307736472996,-1528.0187299337704
-1382.9768163168228,-1441.8829582378007,-1443.5715448168542,-1354.6461462813386
-1306.3203544173089,-1612.5286260193782,-1864.0719680410616,-1323.9520831015418
-1522.1408200543085,-1779.355013475406,-1700.4952766596334,-1369.4881242016131
-1257.0579065954603,-1283.0088896278414,-1716.6780471114625,-1324.7872862262866
-1467.369448715587,-1365.474756377313,-1251.6905224185525,-1256.8364267048478
-1089.583508226202,-1414.592024360078,-1832.062247092738,-1322.3808116355708
-1252.1531515818724,-1345.2942390093635,-1810.4460722847762,-1229.7305849260547
-1184.7541817540628,-1294.6977512645747,-1655.0758717091014,-1295.1460843730897
-1484.9556742236107,-1424.4891413374185,-1733.7195229663223,-1504.7455206740815
-1428.3963563909126,-1468.7502190668047,-1686.3769385774058,-1417.3561188435015
-1193.8963116733935,-1350.1793917567693,-1758.1600353724295,-1303.2166041287119
-1317.2952042423244,-1543.2981300585905,-1480.7081184062854,-1236.9505369233775
-1311.6253887332978,-1428.9851021828665,-1719.3620562930323,-1492.8330116177433
-1441.340999492078,-1633.8380361216296,-1647.5862238082432,-1331.4644688474575
