androidNL,swingNL,javaNL,javascriptNL
-698.1156984840752,-687.006617303211,-850.9572089879217,-853.3611970192096
-657.76597656616,-583.6072366444002,-841.6575152758356,-664.8354108544229
-699.511200106102,-511.4687205000518,-698.9543620098304,-848.797169438788
-816.044024834,-525.5760692583466,-855.4561912579154,-678.6140768987802
-714.7452291956872,-672.4126373030246,-899.8241530022351,-739.0786088884302
-818.7295606055832,-763.5599307069831,-893.362728639506,-600.5927152161734
-803.3593607094929,-645.44346401198,-808.847488743834,-752.7058689596843
-783.7433383308908,-797.5688938208405,-742.9065720452078,-565.5888656474394
-902.2600756345701,-753.9444392504668,-804.0694134203313,-654.3052738087141
-654.3844564659782,-999.2803323095615,-648.218394245023,-954.1529485535368
-751.6013476076351,-657.1264937962994,-879.4313877737226,-641.9300209283738
-771.4142384893282,-736.897665442021,-551.4633092921764,-604.976810123208
-705.4951923367105,-631.42267657418,-726.1583689883535,-377.94770513949425
-467.17563261375443,-830.2951944527777,-718.4494466152923,-911.3077949507581
-776.2400848219303,-523.4924983238988,-644.0032753058042,-433.0350270537309
-451.64272899122903,-567.9944397715337,-1021.748283290201,-949.4154520083167
-722.098829066704,-769.6423116128344,-762.3805487107129,-664.0676287646628
-668.9543127936861,-498.68817845112886,-808.0697300997358,-665.5317852638616
-785.3911135709352,-451.8430620769417,-1025.4064415705084,-571.4893960424035
-554.4536001584606,-599.7367339501129,-1090.0746232783613,-667.9927349194907
-642.6902995152789,-773.7438656507645,-629.2725743211632,-561.5942019349326
-590.4558959909709,-755.3368767468148,-516.9359458714209,-777.0709629249975
-742.1107375300676,-617.8352626538963,-748.7472935270822,-850.3782541856253
-677.2655077361653,-603.6322486817733,-741.409046313643,-628.059593988372
-625.7352567755893,-622.5462470825876,-665.8358845956327,-736.3904007028946
-771.7095072368448,-935.9430099056368,-837.2987653971037,-1094.614187170212
-799.5489443338746,-694.2842495128881,-839.1435309538094,-702.0896459166183
-693.8514145326174,-904.5891895612467,-747.7233503199925,-731.0800830996293
-922.5876909845539,-808.7134954188111,-686.8338974127366,-799.3952051934757
-943.0305001828848,-521.4228684183377,-654.0577390763427,-956.5938301452176
-639.829024541392,-425.618370124403,-797.3032711094249,-672.3045945858432
-953.8065814168449,-705.2750484803604,-758.2771624516798,-702.6719293394585
-881.2224715386268,-636.8290431452676,-1016.2298019108271,-763.6669123317836
-613.363123506531,-607.1116973167032,-661.5548721960225,-867.4242746474633
-883.95530385399,-738.338594629924,-838.6637944262147,-600.2252101536697
-834.8137159375209,-663.7433095005665,-658.3833433041575,-842.1862599733679
-611.3724597660091,-811.4575321676958,-850.5083233340667,-660.886065063401
-896.0796123250766,-689.4320327533267,-489.0896953109558,-518.5274997347341
-592.8633571902076,-752.8309724207631,-764.5100569115639,-670.9528184336517
-691.0118223466336,-624.9278051154402,-602.8767246366988,-887.8672159263122
-759.6125849019891,-730.8441026376322,-638.8006635069536,-709.7735145912651
-651.0036603323665,-611.1660184236423,-772.2152326075995,-720.9819902667125
-805.2400903470458,-744.0607537758985,-363.0287792042938,-731.1324859943979
-739.0205830341813,-531.9896496962557,-816.0667764355394,-798.9981440998708
-723.2020647263516,-664.1941432746858,-592.7371401819112,-672.1144147347305
-869.1988785438443,-787.3121904291047,-796.8858031653855,-766.3147680973879
-693.8056775256952,-578.0244274168413,-804.1157733063249,-693.6290569240762
-888.2159871907702,-500.1979612880365,-735.690769990925,-728.8755879638188
-693.825243584608,-732.3187507285609,-770.5347929694781,-929.7692618305492
-980.3857656656049,-786.2169882322827,-885.2646656433097,-699.7793655418518
-800.2318124960029,-860.143377793827,-573.8831073662291,-576.8248677870372
-812.5008288089482,-835.5627960827533,-754.5037010924052,-623.1190786706716
-859.313048112879,-785.4848644330764,-782.7590468138114,-958.7640568965992
-814.602107585553,-666.5706091156524,-650.1856536016824,-839.2086500263904
-762.8262578060775,-702.7608995369368,-921.4009493804265,-622.3272554497233
-678.827286564549,-802.5314762941081,-677.8575621239064,-715.8873796923107
-934.7509080529126,-713.8224509250881,-963.9764838188652,-571.5446599223458
-717.2167956119868,-849.7677993383081,-959.4098178578083,-785.1690378096798
-771.4541143765589,-729.1654822262725,-737.8367619533842,-871.7251464645342
-858.8893303799423,-578.1502239235156,-668.3333381295969,-760.2486143628028
-905.9670464151745,-623.938817370063,-548.7688357969992,-896.7174456390727
-805.8132419105802,-683.8052485024192,-856.3247877595338,-610.222451596235
-833.2404749882928,-826.0551892400505,-612.4453180891838,-742.274661372609
-625.6146081652245,-781.9481489725363,-777.5836557466899,-683.4667879829859
-852.356073144586,-612.4271593355912,-594.8445115962727,-715.8987528029672
-943.53771583549,-643.54895069816,-672.0678552220671,-1057.04829410707
-760.4000732266389,-639.3890425088118,-823.4220716866924,-597.1909865315612
-903.586882465436,-809.5313025448505,-675.0343951130815,-900.1480725410349
-713.9524698470946,-654.918836998398,-780.2464791953375,-708.5673594358885
-926.3973935246611,-640.4551541344781,-709.679847630036,-585.9070393197736
-543.7574259821179,-734.5207743337947,-770.0126289969554,-892.4060102086916
-547.2301816070872,-727.0708824164576,-662.2404713886069,-715.0015802349895
-696.8922277211822,-820.0886319786696,-666.7495468648468,-547.8364951484814
-1009.0729275586611,-604.2914012282657,-1013.7607243028706,-684.8731440058575
-697.8217204001382,-614.061401454121,-460.8915303947544,-702.1324708973203
-799.1758392884149,-525.5429496089732,-898.1610943625408,-769.1252037628637
-870.7802936443354,-614.9898330044147,-810.1154731247057,-721.6294551770222
-768.212535246834,-561.8024861503947,-914.0541588792885,-865.1625747626073
-911.3721939256375,-818.1860686655633,-1031.4919713634376,-671.5207019856435
-613.8345612707614,-687.3458168221443,-680.457613620534,-693.4476838888838
-929.89190541988,-568.5130056250289,-869.9450033625986,-622.4049824461569
-781.9385101835858,-755.495316181438,-715.2339435912993,-693.8395299299937
-806.5595953458453,-553.6016834875506,-775.5184411804285,-628.6841259091789
-715.629817441594,-705.9142263752224,-860.971029419783,-544.5517762633237
-545.3904248831113,-797.1011063455426,-617.1740781098856,-732.9279249884142
-759.4553846103439,-831.4823591048097,-518.4979040790903,-912.368743070452
