androidNL,swingNL,javaNL,javascriptNL
-1573.9065300910117,-1589.7418462457117,-1355.7625447796715,-1321.976388246609
-1545.584636478433,-1623.0768562564306,-1432.2666956635017,-1346.4087287468496
-1510.7393221808652,-1332.8758172094717,-1332.5698272121567,-1373.4911645405457
-1549.7857298459833,-1519.526964357959,-1497.0519683109997,-1437.8921580634337
-1530.4224577976915,-1435.6410147916586,-1433.2659205206792,-1510.7089472177631
-1397.8266688638437,-1355.479832783564,-1503.502191312458,-1555.8929913633667
-1228.8032684174082,-1477.5361463953848,-1481.9553868599962,-1452.9927276543676
-1260.7536726539483,-1371.1223278196867,-1499.4247900000407,-1452.5263069870907
-1469.1581129838244,-1471.921441864808,-1366.2670119104919,-1612.6499802981753
-1152.3455905650565,-1429.0168477997188,-1476.3559766466944,-1491.4018593653557
-1541.9077613493796,-1371.4292141466753,-1473.6808271857744,-1623.4902170228886
-1482.900844625867,-1483.5898931107895,-1524.7901646190412,-1701.5650888927796
-1521.809434863174,-1339.9199563191098,-1460.7057700280457,-1149.1995273749046
-1509.06483749019,-1512.180521870151,-1492.7793081500863,-1451.6179214701347
-1351.904545091649,-1539.7142136068715,-1604.20749369961,-1396.33661740801
-1350.8484643148622,-1426.1579589973298,-1417.420139762538,-1363.1414459346997
-1345.5415725742753,-1409.016664062865,-1411.0479287358014,-1548.1308871519416
-1589.1992501032378,-1224.504017949659,-1572.740561002883,-1598.339807896
-1527.7095425433815,-1212.3457041528345,-1284.1288421728204,-1399.9337160265882
-1580.7948560496402,-1533.5636768975442,-1552.3660660703024,-1388.108020354805
-1632.8123118634023,-1435.8862209674494,-1697.202871002819,-1490.5802312556118
-1426.9053934652745,-1547.1094043996623,-1645.5563948179981,-1394.6306435574356
-1501.5763163461042,-1406.7513548212453,-1379.8296281084422,-1461.6906489482221
-1632.946345527732,-1449.4573944850047,-1577.5380460355877,-1500.0549143366643
-1581.210485245058,-1176.730289309973,-1554.3510229247822,-1548.6328106797819
-1584.9428662018029,-1315.1475570284845,-1388.7534395979421,-1338.7849907889834
-1513.2119171136087,-1587.4773471104963,-1394.633550862958,-1437.2004482198565
-1471.8240148260202,-1550.172691378864,-1652.926406011611,-1581.2404514347895
-1383.835140689453,-1491.3348702847925,-1310.6392710245996,-1405.787642493021
-1485.1997001835607,-1566.6138512791636,-1565.62755569179,-1325.4255285579402
-1427.727121811183,-1629.1824912603988,-1647.7872354232873,-1490.949725848327
-1445.67227712603,-1272.4846404252412,-1258.8455955264737,-1438.1645605069275
-1563.5317930794579,-1507.7582260326744,-1366.8183680161542,-1649.5242370268197
-1539.3315008281304,-1511.1878371736402,-1424.2369423223422,-1469.4081217975133
-1367.7919007937344,-1362.9466114480797,-1403.3796091898312,-1457.3063119487442
-1313.7967658144767,-1404.0033239698423,-1231.9985156971165,-1403.1813783828998
-1544.782907504377,-1419.814201629445,-1496.4789295653507,-1609.6646777827723
-1616.1301359586391,-1427.5336196134049,-1528.727926172143,-1532.9751246108635
-1355.1339815538738,-1382.6009642876716,-1277.6543326305805,-1577.2267626558348
-1525.9797716679325,-1480.499929568708,-1316.820896446539,-1417.122813130672
-1567.0610260751491,-1399.6772028565724,-1543.5483581005408,-1417.1451416149614
-1435.2141657534871,-1288.8751383310823,-1534.0271925912343,-1586.1762867855023
-1487.371897860622,-1361.5327706002931,-1442.4736826512146,-1511.1173612135517
-1233.4217985898933,-1416.6950673924882,-1471.0402244167121,-1441.0643045973559
-1419.1877314780327,-1450.7382697163544,-1502.035609509202,-1540.1193476599747
-1233.4633804566902,-1440.3575459977565,-1453.119748659222,-1535.3318808422378
-1442.2000489509555,-1519.7849515197079,-1637.5915703191397,-1398.2671310338865
-1487.8007163906925,-1538.3238892726422,-1494.2787339859235,-1450.7983128556498
-1522.7773001926466,-1380.8183150831737,-1425.5965950005052,-1464.3470796519878
-1571.349925376443,-1377.1209265397345,-1463.5643109596876,-1544.6291597095512
-1563.7272800281876,-1571.5515479037049,-1462.9713061959671,-1637.9333632375933
-1491.4300657957037,-1511.7626274733839,-1499.8971010733208,-1592.2211114509605
-1463.9679944394954,-1402.8528391789623,-1519.1014616153977,-1186.670973048187
-1471.0587752601143,-1375.916266893891,-1552.4779902919765,-1333.8663827500072
-1378.2649439141549,-1468.8095026947785,-1551.1532567718532,-1484.2251458332253
-1567.9295708980267,-1239.982586627702,-1460.5478566346017,-1496.4998668434353
-1460.4197213837783,-1270.2595698412183,-1488.2444948284058,-1529.6139333640494
-1396.4820466988217,-1376.1644952930078,-1534.4020040101204,-1360.136917686616
-1534.42829925152,-1617.2928294747994,-1327.3123689172323,-1600.6363913640841
-1529.6727747710431,-1547.7357343492233,-1502.2992813499945,-1510.653494517399
-1523.6255848434052,-1642.1881246633561,-1478.344511363529,-1405.2048070190617
-1308.1420777011715,-1276.8681956805642,-1444.4505448867758,-1625.2297273455406
-1379.3720729575007,-1572.1293697577635,-1488.7452741453335,-1564.7564643085416
-1647.5414815287932,-1309.6344149223555,-1533.9591295836915,-1566.3837196655068
-1412.536423742251,-1470.2042759796605,-1710.8576125242666,-1503.518931277261
-1567.1996385065852,-1657.8127710953777,-1540.1909749283325,-1323.3780545117447
-1476.1453369626997,-1223.047800572337,-1490.1843161773222,-1605.675998777755
-1646.4262997201179,-1484.129237379056,-1391.8342325370816,-1496.9526934306064
-1494.6000981629952,-1652.993571781809,-1637.873710754682,-1565.9021603856004
-1566.2843717723506,-1433.4366311154592,-1492.3712841794118,-1704.9116455501753
-1650.285779261426,-1351.2803947038983,-1571.469384343169,-1423.2428969609036
-1543.7242068659862,-1519.7835678955823,-1701.9601799078616,-1398.1766120297016
-1445.6832070112825,-1466.4718119489016,-1530.631917705868,-1551.155111383941
-1373.772353680254,-1498.4665588325527,-1567.138060069231,-1548.1362915808704
-1629.1714502449877,-1211.605800952811,-1683.4513388062728,-1483.1031938985434
-1350.4887979075818,-1563.6077373198866,-1308.4170073321416,-1511.0958596399278
-1427.8821380734485,-1402.5093773065807,-1616.8973320636546,-1342.722026132132
-1499.9991448695716,-1393.0597024795682,-1516.9804589682453,-1609.1074808750175
-1573.0905194059324,-1407.0983839005103,-1468.3485448757037,-1651.0939810591665
-1560.0551225900113,-1433.4326818324225,-1509.1589767837859,-1566.0518171763192
-1180.8725879088852,-1401.451688541677,-1456.289700957805,-1629.397709655781
-1462.2042438833512,-1520.933834008568,-1579.408553623431,-1524.7375623863536
-1212.3610794210997,-1344.638427991629,-1609.5783752379823,-1621.3434376410578
-1497.4959822986589,-1603.5385389108635,-1466.5247685856575,-1467.1492685445432
-1472.4752986921033,-1338.00049485477,-1462.0361037014259,-1463.974203466177
-1502.1644757051067,-1534.435167140576,-1395.5890124234106,-1462.1495257904767
-1425.5063720076223,-1336.8128019243372,-1425.4032816202925,-1558.919994952837
-1509.6103024984686,-1384.2269655361697,-1581.0997841923836,-1518.30424897302
-1759.7608733738116,-1222.3918625573042,-1585.4285252426348,-1440.8264049365584
-1561.282064803692,-1443.3660819249278,-1408.0351431719191,-1554.4050153232681
-1497.9711333642724,-1445.9921595360552,-1446.5883343303783,-1394.1003059062655
-1482.656230037002,-1653.7423869531353,-1435.8628746980219,-1508.8857149150426
-1386.954838681298,-1440.4854078031997,-1243.1189088746407,-1598.5046496110479
-1430.909770429654,-1343.3271206252662,-1659.960470170785,-1464.725677794806
-1634.3754670210492,-1299.9488631720087,-1514.3496998896403,-1334.8793408336535
-1630.8843775798762,-1226.509416391891,-1499.8068916817558,-1411.3262334718584
-1558.9720454465435,-1526.3645086568517,-1399.0648043451852,-1544.1473057908884
-1347.157025522321,-1137.8462440428398,-1636.0225580578185,-1397.152385702231
-1415.772443457427,-1483.2060543804487,-1496.2813308355708,-1551.3627491284378
-1546.0317699563034,-1598.3711012700182,-1488.9580176754648,-1631.5965313868833
-1537.8150183927935,-1296.157009427945,-1537.9165440869115,-1474.650974346952
-1478.1595763430576,-1379.0302123425995,-1467.7887039394159,-1685.2799118346393
-1362.6648745007735,-1390.5328284680977,-1381.3582444236079,-1549.9619496731589
-1472.2510972516127,-1358.356410145011,-1453.9819867384388,-1501.370676992069
-1591.5047946638929,-1231.7184688871423,-1640.5299378629345,-1370.3701582493447
-1444.791131644535,-1393.9058796301474,-1463.4866057981505,-1501.732181700136
-1338.6611618424643,-1293.6733189605125,-1558.0403578751523,-1507.6863783369522
-1482.4566709908281,-1360.063264237986,-1603.3765232652927,-1501.8268006188923
-1508.2763980227755,-1278.277254567346,-1387.7660047305278,-1440.0680048645418
-1619.5802803304073,-1577.4486950768762,-1319.6729083300895,-1456.0220106661675
-1408.3452883890368,-1459.171807040671,-1539.342103936707,-1348.6136475140338
-1594.0533544788098,-1464.8333831117925,-1375.6961842106202,-1417.7479651280612
-1481.8496332504455,-1586.6474784733246,-1517.3676889706499,-1627.6893595284046
-1262.2032587508018,-1310.970497211977,-1639.7034603163388,-1655.4813260384992
-1612.5110008316244,-1569.270972064955,-1527.6112812329734,-1452.714071265987
-1638.9927662717591,-1328.0092808500754,-1521.157312118804,-1459.5038595008118
-1558.3700474279867,-1549.746099197191,-1510.059898120879,-1472.313268718035
-1553.4580248186915,-1436.1347227700967,-1528.6576234289723,-1437.623085610172
-1640.13428972837,-1492.9390920409483,-1702.2456841482633,-1637.212232226591
-1479.8352916320341,-1416.8099468726466,-1486.3498133781745,-1562.734848388028
-1563.336191678204,-1537.00924138952,-1290.195263668903,-1556.7547131726305
-1470.784293266843,-1673.0866818128015,-1538.5757603186992,-1432.214268881851
-1494.3110543144878,-1368.74670763053,-1451.7024911739209,-1379.1323018494563
-1472.6850367294205,-1249.5960461036402,-1456.2344581206294,-1491.5614340574941
-1337.326629726164,-1403.931902321885,-1403.1225096659025,-1501.428403369675
-1456.003798378521,-1497.6025056170663,-1469.5989780217121,-1526.8683208015084
-1623.2530000430806,-1509.3895937659113,-1544.8773059822706,-1288.4868934733445
-1430.7037329269187,-1393.0711504403646,-1466.9271532155158,-1311.5203406747723
-1477.9970386624163,-1548.9650210930765,-1261.7355558411862,-1137.1537093337822
-1579.9028317319464,-1556.5569589972085,-1423.3532052291375,-1477.7234069220704
-1480.0059786455076,-1411.1054590999502,-1404.170058929074,-1429.0752843886687
-1550.3379178162738,-1330.9824667589926,-1482.126126111753,-1420.8505754194584
-1361.1173625172248,-1465.106721465843,-1506.457727890121,-1466.2255142882973
-1559.5307493618443,-1577.411335317741,-1643.7182000048692,-1524.4654575717389
-1499.828677006289,-1426.9296444140189,-1546.3673301034746,-1594.6246477298773
-1510.956270809334,-1637.6510878352747,-1632.1990455795103,-1493.2865081196685
-1587.734692211689,-1509.7749849929558,-1473.7930505015104,-1299.4598645678216
-1428.9854393249082,-1491.9021246416864,-1477.3279811835619,-1618.4877001380376
-1506.6160088685442,-1603.6909484736886,-1699.6454876151774,-1323.2384325428889
-1296.351871894074,-1683.66954828822,-1438.347278711174,-1557.8097228883798
-1430.0861486904328,-1244.2480005822856,-1561.546746441899,-1442.4108614451625
-1589.6345030135174,-1457.8277788659161,-1679.715247885345,-1502.6469742443057
