fileName,count
2137826.txt,89
2138002.txt,64
2140331.txt,51
2142442.txt,29
2143197.txt,83
2144914.txt,46
2145638.txt,137
2145743.txt,29
2145914.txt,228
2146173.txt,30
2148682.txt,71
2149762.txt,498
2151234.txt,45
2152522.txt,7
2153305.txt,48
2154133.txt,39
2158889.txt,76
2159838.txt,90
2159920.txt,140
2159998.txt,194
2160144.txt,136
2160285.txt,141
2160491.txt,36
2160586.txt,49
2162805.txt,181
2165329.txt,187
2166091.txt,186
2166765.txt,103
2166912.txt,68
2167206.txt,53
2167544.txt,241
2167572.txt,66
2168289.txt,154
2168635.txt,48
2170609.txt,262
2171473.txt,25
2171602.txt,147
2172399.txt,39
2172668.txt,97
2172861.txt,203
2175874.txt,64
2176512.txt,101
2177098.txt,74
2178355.txt,61
2178733.txt,93
2179482.txt,1
2182261.txt,86
2182916.txt,50
2183238.txt,69
2183335.txt,113
2183412.txt,82
2184664.txt,76
2184825.txt,128
2185675.txt,16
2185765.txt,177
2187666.txt,164
2190813.txt,71
2190850.txt,81
2190967.txt,135
2191388.txt,83
2191858.txt,164
2192281.txt,27
2193002.txt,78
2195035.txt,115
2195427.txt,131
2196654.txt,104
2196849.txt,44
2197724.txt,88
2198713.txt,27
2198727.txt,38
2201332.txt,75
2201522.txt,206
2204538.txt,129
2204860.txt,36
2205118.txt,143
2205269.txt,113
2205410.txt,91
2205695.txt,207
2206129.txt,53
2206335.txt,28
2206356.txt,154
2206517.txt,15
2206786.txt,48
2206802.txt,214
2207794.txt,36
2207998.txt,42
2208274.txt,23
2208676.txt,188
2209019.txt,49
2209081.txt,21
2209725.txt,30
2210225.txt,43
2210432.txt,12
2211146.txt,248
2212542.txt,66
2212604.txt,586
2213312.txt,40
2213502.txt,640
2216750.txt,46
2217141.txt,17
2217188.txt,61
2218666.txt,81
2219431.txt,48
2219683.txt,103
2220647.txt,20
2220783.txt,82
2222355.txt,144
2224835.txt,93
2225489.txt,86
2226007.txt,190
2226084.txt,165
2226821.txt,92
2227648.txt,45
2230992.txt,67
2231077.txt,75
2234708.txt,93
2234896.txt,118
2236365.txt,178
2236747.txt,301
2240557.txt,53
2241433.txt,115
2241490.txt,40
2241556.txt,87
2242277.txt,466
2243339.txt,56
2243575.txt,79
2243688.txt,142
2244144.txt,65
2244511.txt,18
2244753.txt,72
2246202.txt,92
2249618.txt,74
2249693.txt,245
2253829.txt,113
2253955.txt,144
2255476.txt,169
2255494.txt,69
2256835.txt,23
2257409.txt,74
2257517.txt,123
2257993.txt,513
2258293.txt,84
2260037.txt,206
2260279.txt,150
2260749.txt,49
2261550.txt,16
2264037.txt,84
2264968.txt,102
2266155.txt,19
2266789.txt,274
2266999.txt,58
2267826.txt,162
2268576.txt,74
2274749.txt,113
2275298.txt,38
2277666.txt,55
2280150.txt,69
2280348.txt,87
2281134.txt,81
2282375.txt,392
2282700.txt,80
2282974.txt,85
2283923.txt,165
2284355.txt,25
2285337.txt,24
2286388.txt,85
2286663.txt,44
2286709.txt,73
2287704.txt,70
2288583.txt,131
2289759.txt,106
2290424.txt,59
2294563.txt,122
2294703.txt,51
2294858.txt,222
2295079.txt,14
2295234.txt,15
2295281.txt,179
2296003.txt,50
2296583.txt,148
2296788.txt,18
2296971.txt,50
2297103.txt,146
2297217.txt,11
2297358.txt,51
2297461.txt,101
2298295.txt,65
2298635.txt,1741
2298775.txt,68
2300197.txt,50
2301278.txt,40
2301563.txt,163
2302431.txt,33
2303322.txt,19
2303863.txt,180
2306556.txt,216
2308609.txt,51
2309154.txt,143
2309726.txt,38
2310112.txt,117
2310145.txt,69
2310752.txt,40
2310816.txt,359
2312593.txt,78
2313102.txt,195
2313134.txt,94
2313890.txt,68
2315061.txt,252
2315371.txt,44
2315842.txt,106
2319857.txt,80
2322603.txt,85
2322935.txt,109
2323196.txt,15
2324307.txt,40
2324373.txt,42
2324815.txt,36
2325312.txt,204
2325952.txt,47
2326746.txt,25
2331032.txt,162
2331086.txt,52
2331155.txt,37
2331158.txt,46
2331473.txt,9
2334140.txt,26
2335278.txt,79
2336853.txt,264
2339624.txt,16
2341119.txt,18
2342004.txt,86
2342557.txt,67
2343557.txt,40
2343889.txt,123
2344354.txt,257
2346447.txt,67
2346856.txt,64
2347117.txt,66
2347222.txt,180
2347504.txt,54
2349411.txt,71
2350421.txt,29
2352653.txt,42
2352755.txt,50
2353111.txt,63
2353511.txt,138
2354384.txt,117
2354716.txt,49
2354998.txt,34
2358462.txt,36
2359189.txt,63
2360625.txt,127
2363337.txt,79
2364721.txt,44
2365254.txt,48
2368690.txt,77
2368818.txt,31
2369139.txt,17
2369635.txt,79
2370156.txt,49
2370678.txt,26
2377105.txt,88
2378599.txt,52
2378896.txt,130
2381296.txt,210
2381797.txt,87
2382461.txt,50
2383401.txt,167
2384643.txt,107
2384896.txt,19
2385617.txt,135
2385920.txt,95
2386405.txt,13
2387041.txt,223
2388459.txt,23
2390726.txt,143
2392220.txt,43
2393778.txt,6
2397068.txt,54
2397220.txt,61
2397690.txt,359
2401156.txt,65
2401660.txt,80
2403269.txt,97
2403476.txt,35
2404127.txt,320
2405117.txt,309
2405425.txt,16
2405771.txt,415
2407052.txt,75
2407760.txt,88
2408362.txt,129
2408399.txt,80
2411501.txt,348
2411621.txt,140
2412339.txt,218
2412557.txt,69
2412738.txt,77
2413759.txt,57
2415129.txt,134
2415894.txt,44
2415900.txt,48
2417624.txt,64
2417784.txt,24
2418535.txt,102
2420610.txt,110
2420807.txt,35
2421133.txt,41
2421362.txt,51
2421895.txt,29
2422026.txt,100
2422946.txt,206
2423064.txt,67
2423946.txt,45
2424974.txt,43
2425142.txt,41
2426659.txt,108
2426958.txt,49
2429055.txt,45
2434356.txt,37
2435615.txt,194
2437148.txt,55
2437280.txt,74
2438304.txt,58
2438314.txt,200
2439204.txt,186
2439255.txt,80
2440700.txt,103
2444565.txt,130
2447309.txt,437
2447625.txt,203
2450047.txt,234
2451417.txt,407
2452422.txt,116
2452581.txt,113
2453605.txt,83
2455359.txt,83
2456384.txt,186
2457786.txt,27
2459429.txt,64
2460327.txt,121
2460836.txt,62
2460915.txt,58
2461312.txt,209
2461560.txt,35
2461657.txt,16
2462270.txt,64
2462306.txt,37
2463064.txt,71
2465234.txt,21
2466552.txt,45
2466589.txt,142
2467382.txt,116
2470089.txt,65
2470098.txt,441
2470847.txt,83
2470883.txt,34
2471323.txt,73
2472357.txt,85
2473052.txt,99
2475364.txt,31
2480299.txt,142
2480900.txt,49
2482667.txt,49
2485423.txt,560
2485632.txt,237
2486428.txt,83
2491473.txt,58
2492123.txt,415
2495174.txt,140
2496617.txt,28
2497278.txt,69
2497935.txt,143
2498890.txt,15
2498903.txt,119
2499093.txt,129
2499290.txt,23
2500130.txt,123
2501503.txt,128
2502859.txt,74
2504328.txt,16
2504568.txt,231
2506354.txt,144
2511681.txt,54
2512713.txt,366
2514549.txt,177
2515162.txt,106
2515482.txt,48
2515791.txt,101
2517032.txt,182
2517090.txt,385
2518041.txt,95
2520213.txt,206
2521060.txt,47
2521345.txt,33
2521658.txt,157
2522207.txt,32
2523779.txt,190
2525568.txt,84
2528236.txt,89
2528504.txt,96
2528508.txt,224
2529001.txt,58
2532150.txt,6
2532218.txt,87
2532977.txt,92
2533887.txt,44
2534260.txt,155
2536703.txt,96
2536793.txt,114
2537161.txt,49
2538378.txt,80
2543300.txt,26
2547253.txt,134
2547439.txt,447
2548156.txt,338
2548724.txt,76
2549042.txt,129
2550171.txt,157
2550903.txt,35
2551067.txt,167
2551132.txt,79
2551586.txt,38
2552353.txt,65
2555679.txt,139
2557501.txt,143
2557586.txt,107
2558310.txt,19
2559015.txt,36
2559238.txt,41
2561110.txt,118
2561152.txt,11
2562933.txt,241
2562969.txt,36
2563230.txt,157
2565222.txt,35
2565305.txt,53
2566529.txt,44
2568708.txt,77
2568827.txt,21
2569185.txt,294
2570450.txt,134
2571655.txt,63
2571746.txt,99
2571782.txt,364
2572254.txt,219
2573548.txt,95
2575213.txt,26
2576571.txt,360
2577513.txt,10
2578577.txt,80
2579379.txt,192
2579883.txt,92
2579945.txt,101
2580621.txt,27
2580792.txt,61
2581004.txt,20
2581305.txt,85
2583119.txt,8
2583973.txt,17
2584592.txt,42
2584815.txt,78
2586768.txt,247
2587134.txt,38
2587182.txt,177
2587755.txt,40
2588568.txt,106
2590414.txt,107
2591368.txt,59
2593245.txt,37
2593738.txt,120
2594415.txt,108
2594949.txt,179
2596690.txt,149
2597448.txt,67
2597626.txt,47
2598205.txt,145
2599143.txt,135
2599421.txt,128
2600085.txt,65
2600709.txt,108
2602225.txt,39
2602800.txt,54
2605381.txt,32
2605422.txt,34
2606094.txt,78
2606367.txt,99
2606613.txt,76
2606687.txt,121
2608124.txt,45
2608773.txt,111
2608797.txt,65
2608963.txt,17
2608975.txt,49
2609242.txt,85
2609515.txt,287
2609818.txt,28
2610226.txt,160
2610281.txt,33
2610580.txt,75
2612967.txt,154
2613511.txt,192
2614520.txt,100
2615206.txt,81
2615374.txt,105
2616586.txt,239
2618828.txt,14
2618901.txt,40
2619379.txt,47
2621331.txt,23
2621835.txt,33
2627299.txt,17
2627473.txt,131
2627621.txt,44
2628221.txt,32
2630364.txt,298
2630651.txt,17
2630991.txt,137
2631019.txt,43
2631349.txt,85
2631464.txt,169
2631820.txt,225
2633359.txt,190
2634946.txt,22
2635432.txt,99
2636309.txt,30
2636453.txt,70
2636562.txt,35
2638118.txt,129
2638975.txt,30
2642745.txt,107
2644398.txt,103
2644615.txt,105
2644660.txt,80
2645070.txt,102
2646524.txt,13
2647201.txt,185
2648314.txt,56
2649451.txt,30
2650079.txt,56
2650865.txt,81
2651988.txt,35
2652816.txt,709
2653255.txt,121
2653265.txt,139
2655009.txt,222
2655729.txt,87
2657433.txt,35
2658358.txt,48
2658369.txt,82
2659437.txt,64
2659489.txt,40
2659737.txt,21
2660910.txt,100
2661289.txt,31
2661294.txt,13
2661549.txt,23
2662245.txt,28
2662860.txt,120
2663431.txt,53
2665832.txt,169
2666602.txt,238
2667484.txt,67
2668958.txt,13
2669787.txt,116
2672813.txt,151
2672865.txt,14
2673121.txt,843
2673194.txt,64
2674934.txt,278
2676012.txt,72
2676178.txt,88
2677570.txt,227
2678133.txt,52
2678516.txt,76
2679141.txt,124
2681158.txt,39
2681538.txt,127
2682995.txt,137
2683144.txt,153
2683559.txt,78
2684264.txt,13
2685222.txt,62
2685678.txt,45
2685855.txt,35
2686118.txt,337
2686258.txt,83
2686503.txt,49
2686567.txt,143
2687064.txt,55
2687531.txt,110
2687566.txt,557
2689075.txt,81
2689326.txt,135
2691301.txt,193
2691903.txt,38
2692628.txt,181
2693249.txt,276
2694648.txt,54
2695793.txt,121
2696692.txt,107
2698011.txt,65
2698776.txt,13
2699040.txt,54
2701025.txt,113
2701838.txt,97
2701987.txt,396
2702000.txt,194
2703383.txt,219
2703468.txt,171
2704186.txt,41
2705583.txt,85
2706125.txt,330
2706547.txt,25
2706763.txt,126
2707031.txt,62
2708765.txt,210
2709660.txt,15
2709869.txt,231
2709934.txt,61
2710967.txt,152
2711150.txt,27
2711235.txt,131
2711254.txt,308
2711459.txt,143
2711463.txt,84
2711688.txt,325
2713599.txt,44
2714201.txt,44
2715958.txt,176
2716270.txt,315
2716657.txt,53
2717767.txt,739
2718311.txt,38
2718799.txt,123
2718842.txt,56
2719300.txt,104
2722172.txt,72
2722255.txt,57
2723891.txt,51
2723965.txt,295
2724019.txt,151
2724047.txt,82
2725819.txt,71
2728855.txt,373
2742124.txt,154
