fileName,count
2137826.txt,14
2138002.txt,45
2140331.txt,0
2142442.txt,99
2143197.txt,57
2144914.txt,61
2145638.txt,33
2145743.txt,16
2145914.txt,159
2146173.txt,125
2148682.txt,124
2149762.txt,148
2151234.txt,52
2152522.txt,82
2153305.txt,0
2154133.txt,23
2158889.txt,8
2159838.txt,1196
2159920.txt,8
2159998.txt,6
2160144.txt,148
2160285.txt,554
2160491.txt,0
2160586.txt,52
2162805.txt,0
2165329.txt,422
2166091.txt,0
2166765.txt,126
2166912.txt,118
2167206.txt,123
2167544.txt,5
2167572.txt,0
2168289.txt,0
2168635.txt,46
2170609.txt,26
2171473.txt,42
2171602.txt,156
2172399.txt,20
2172668.txt,33
2172861.txt,84
2175874.txt,23
2176512.txt,52
2177098.txt,246
2178355.txt,72
2178733.txt,59
2179482.txt,26
2182261.txt,48
2182916.txt,31
2183238.txt,22
2183335.txt,0
2183412.txt,0
2184664.txt,0
2184825.txt,93
2185675.txt,0
2185765.txt,44
2187666.txt,161
2190813.txt,54
2190850.txt,266
2190967.txt,131
2191388.txt,36
2191858.txt,83
2192281.txt,52
2193002.txt,75
2195035.txt,389
2195427.txt,72
2196654.txt,88
2196849.txt,132
2197724.txt,0
2198713.txt,18
2198727.txt,23
2201332.txt,229
2201522.txt,69
2204538.txt,31
2204860.txt,64
2205118.txt,0
2205269.txt,176
2205410.txt,10
2205695.txt,403
2206129.txt,0
2206335.txt,165
2206356.txt,80
2206517.txt,81
2206786.txt,70
2206802.txt,18
2207794.txt,17
2207998.txt,22
2208274.txt,85
2208676.txt,51
2209019.txt,0
2209081.txt,187
2209725.txt,4
2210225.txt,120
2210432.txt,17
2211146.txt,13
2212542.txt,64
2212604.txt,20
2213312.txt,20
2213502.txt,0
2216750.txt,87
2217141.txt,80
2217188.txt,63
2218666.txt,7
2219431.txt,81
2219683.txt,249
2220647.txt,31
2220783.txt,10
2222355.txt,4
2224835.txt,53
2225489.txt,14
2226007.txt,128
2226084.txt,113
2226821.txt,0
2227648.txt,25
2230992.txt,27
2231077.txt,60
2234708.txt,0
2234896.txt,64
2236365.txt,0
2236747.txt,315
2240557.txt,3
2241433.txt,277
2241490.txt,83
2241556.txt,96
2242277.txt,0
2243339.txt,40
2243575.txt,98
2243688.txt,2
2244144.txt,31
2244511.txt,101
2244753.txt,16
2246202.txt,19
2249618.txt,59
2249693.txt,0
2253829.txt,97
2253955.txt,35
2255476.txt,318
2255494.txt,167
2256835.txt,140
2257409.txt,4
2257517.txt,181
2257993.txt,120
2258293.txt,196
2260037.txt,47
2260279.txt,99
2260749.txt,24
2261550.txt,5
2264037.txt,113
2264968.txt,32
2266155.txt,40
2266789.txt,252
2266999.txt,56
2267826.txt,410
2268576.txt,4
2274749.txt,97
2275298.txt,225
2277666.txt,35
2280150.txt,249
2280348.txt,104
2281134.txt,306
2282375.txt,248
2282700.txt,2
2282974.txt,44
2283923.txt,39
2284355.txt,113
2285337.txt,42
2286388.txt,385
2286663.txt,0
2286709.txt,95
2287704.txt,68
2288583.txt,18
2289759.txt,27
2290424.txt,86
2294563.txt,155
2294703.txt,248
2294858.txt,86
2295079.txt,77
2295234.txt,44
2295281.txt,86
2296003.txt,100
2296583.txt,240
2296788.txt,22
2296971.txt,55
2297103.txt,169
2297217.txt,17
2297358.txt,232
2297461.txt,33
2298295.txt,113
2298635.txt,55
2298775.txt,22
2300197.txt,33
2301278.txt,13
2301563.txt,107
2302431.txt,99
2303322.txt,0
2303863.txt,0
2306556.txt,95
2308609.txt,41
2309154.txt,17
2309726.txt,33
2310112.txt,131
2310145.txt,59
2310752.txt,10
2310816.txt,262
2312593.txt,0
2313102.txt,76
2313134.txt,7
2313890.txt,70
2315061.txt,0
2315371.txt,0
2315842.txt,0
2319857.txt,54
2322603.txt,45
2322935.txt,21
2323196.txt,2
2324307.txt,73
2324373.txt,12
2324815.txt,3
2325312.txt,51
2325952.txt,0
2326746.txt,0
2331032.txt,168
2331086.txt,50
2331155.txt,39
2331158.txt,160
2331473.txt,15
2334140.txt,13
2335278.txt,109
2336853.txt,0
2339624.txt,4
2341119.txt,12
2342004.txt,18
2342557.txt,38
2343557.txt,0
2343889.txt,112
2344354.txt,124
2346447.txt,0
2346856.txt,8
2347117.txt,108
2347222.txt,39
2347504.txt,97
2349411.txt,9
2350421.txt,6
2352653.txt,131
2352755.txt,6
2353111.txt,11
2353511.txt,82
2354384.txt,115
2354716.txt,122
2354998.txt,20
2358462.txt,28
2359189.txt,17
2360625.txt,79
2363337.txt,18
2364721.txt,3
2365254.txt,28
2368690.txt,85
2368818.txt,50
2369139.txt,34
2369635.txt,53
2370156.txt,0
2370678.txt,39
2377105.txt,123
2378599.txt,31
2378896.txt,44
2381296.txt,176
2381797.txt,0
2382461.txt,221
2383401.txt,22
2384643.txt,196
2384896.txt,8
2385617.txt,29
2385920.txt,62
2386405.txt,0
2387041.txt,123
2388459.txt,26
2390726.txt,23
2392220.txt,20
2393778.txt,127
2397068.txt,10
2397220.txt,109
2397690.txt,147
2401156.txt,45
2401660.txt,41
2403269.txt,7
2403476.txt,28
2404127.txt,63
2405117.txt,23
2405425.txt,1025
2405771.txt,104
2407052.txt,33
2407760.txt,23
2408362.txt,20
2408399.txt,11
2411501.txt,0
2411621.txt,0
2412339.txt,189
2412557.txt,33
2412738.txt,0
2413759.txt,9
2415129.txt,0
2415894.txt,8
2415900.txt,47
2417624.txt,156
2417784.txt,21
2418535.txt,16
2420610.txt,26
2420807.txt,187
2421133.txt,4
2421362.txt,224
2421895.txt,71
2422026.txt,84
2422946.txt,54
2423064.txt,121
2423946.txt,0
2424974.txt,10
2425142.txt,27
2426659.txt,56
2426958.txt,69
2429055.txt,30
2434356.txt,10
2435615.txt,212
2437148.txt,10
2437280.txt,0
2438304.txt,207
2438314.txt,539
2439204.txt,105
2439255.txt,70
2440700.txt,208
2444565.txt,57
2447309.txt,26
2447625.txt,26
2450047.txt,0
2451417.txt,0
2452422.txt,18
2452581.txt,46
2453605.txt,38
2455359.txt,21
2456384.txt,131
2457786.txt,58
2459429.txt,62
2460327.txt,18
2460836.txt,33
2460915.txt,6
2461312.txt,162
2461560.txt,32
2461657.txt,27
2462270.txt,38
2462306.txt,3
2463064.txt,92
2465234.txt,120
2466552.txt,131
2466589.txt,210
2467382.txt,0
2470089.txt,55
2470098.txt,473
2470847.txt,0
2470883.txt,56
2471323.txt,67
2472357.txt,135
2473052.txt,6
2475364.txt,25
2480299.txt,71
2480900.txt,115
2482667.txt,24
2485423.txt,215
2485632.txt,93
2486428.txt,1406
2491473.txt,90
2492123.txt,32
2495174.txt,40
2496617.txt,33
2497278.txt,149
2497935.txt,0
2498890.txt,0
2498903.txt,0
2499093.txt,61
2499290.txt,40
2500130.txt,0
2501503.txt,123
2502859.txt,7
2504328.txt,0
2504568.txt,676
2506354.txt,10
2511681.txt,50
2512713.txt,0
2514549.txt,94
2515162.txt,28
2515482.txt,90
2515791.txt,41
2517032.txt,3
2517090.txt,87
2518041.txt,306
2520213.txt,76
2521060.txt,33
2521345.txt,125
2521658.txt,0
2522207.txt,23
2523779.txt,131
2525568.txt,51
2528236.txt,6
2528504.txt,96
2528508.txt,0
2529001.txt,0
2532150.txt,11
2532218.txt,279
2532977.txt,65
2533887.txt,9
2534260.txt,20
2536703.txt,95
2536793.txt,13
2537161.txt,37
2538378.txt,48
2543300.txt,0
2547253.txt,37
2547439.txt,0
2548156.txt,0
2548724.txt,0
2549042.txt,54
2550171.txt,79
2550903.txt,0
2551067.txt,14
2551132.txt,3
2551586.txt,27
2552353.txt,7
2555679.txt,62
2557501.txt,251
2557586.txt,0
2558310.txt,65
2559015.txt,14
2559238.txt,26
2561110.txt,100
2561152.txt,24
2562933.txt,24
2562969.txt,126
2563230.txt,128
2565222.txt,9
2565305.txt,25
2566529.txt,52
2568708.txt,94
2568827.txt,37
2569185.txt,63
2570450.txt,0
2571655.txt,57
2571746.txt,5
2571782.txt,0
2572254.txt,0
2573548.txt,112
2575213.txt,313
2576571.txt,227
2577513.txt,33
2578577.txt,262
2579379.txt,29
2579883.txt,64
2579945.txt,5
2580621.txt,10
2580792.txt,0
2581004.txt,82
2581305.txt,18
2583119.txt,16
2583973.txt,73
2584592.txt,88
2584815.txt,35
2586768.txt,31
2587134.txt,5
2587182.txt,54
2587755.txt,75
2588568.txt,100
2590414.txt,300
2591368.txt,0
2593245.txt,0
2593738.txt,136
2594415.txt,10
2594949.txt,283
2596690.txt,121
2597448.txt,46
2597626.txt,0
2598205.txt,0
2599143.txt,62
2599421.txt,4
2600085.txt,78
2600709.txt,0
2602225.txt,0
2602800.txt,142
2605381.txt,0
2605422.txt,63
2606094.txt,64
2606367.txt,57
2606613.txt,600
2606687.txt,56
2608124.txt,0
2608773.txt,1063
2608797.txt,84
2608963.txt,136
2608975.txt,28
2609242.txt,112
2609515.txt,198
2609818.txt,0
2610226.txt,39
2610281.txt,0
2610580.txt,24
2612967.txt,1
2613511.txt,326
2614520.txt,24
2615206.txt,0
2615374.txt,134
2616586.txt,0
2618828.txt,13
2618901.txt,0
2619379.txt,5
2621331.txt,160
2621835.txt,31
2627299.txt,32
2627473.txt,407
2627621.txt,11
2628221.txt,95
2630364.txt,30
