android,swing,java,javascript
-297.14154485635413,-680.9770849370963,-594.7781870207715,-255.71141376847464
-318.74896024307213,-499.5857157187514,-252.37989058734374,-315.6179633826842
-290.09105234313853,-409.3599054394518,-469.20731830220564,-403.3060303402975
-424.1177432240146,-437.4289695711875,-379.82815325843853,-343.81603634954445
-229.5635632115832,-279.62845171389995,-365.3859420018972,-350.0198894957617
-266.9044208763413,-339.59343198525005,-318.7774523414431,-346.7048055595351
-285.571123868757,-607.3369628111809,-572.5874682950855,-309.884698126421
-305.8061264302502,-402.55645568756086,-529.0111169489326,-313.52930808970945
-303.7381287406729,-467.6088447920788,-389.71397912660115,-338.0776508412757
-257.4573816624444,-433.3336243545941,-317.35523642895953,-281.1747594045382
-224.55221858116875,-280.65853029055916,-362.15118415704353,-158.74085492870813
-306.0912791620491,-390.3508824763161,-596.840684490603,-369.16027109333265
-323.1080593580871,-382.07980514083033,-555.5548438423255,-394.1115074498608
-343.92128928718773,-368.18061895836126,-486.9491683985118,-322.7057599486491
-268.3092588106785,-427.7203982896047,-341.6668059411005,-244.74490607583937
-366.6971427150954,-498.8451775733513,-481.7146762126781,-378.56773546981896
-290.83214985490804,-265.5168273630672,-325.8950913878781,-413.3933622046352
-352.3844362584806,-632.7778072807265,-555.1455358253202,-344.8036046752155
-402.0955295335316,-528.2986872423191,-471.25281564428127,-380.8221932257586
-323.78854228763225,-364.2474682534347,-465.9889907661588,-263.17537940548056
-352.80978724867157,-483.0331777294805,-552.8767571252181,-246.34333466740452
-318.09095239700684,-409.5060486024406,-439.01004828376176,-327.81881726203886
-302.1596570785757,-650.2887969031879,-453.1960547911502,-339.58800570710366
-334.9391237530558,-304.98519502119166,-307.62555894360594,-309.1024013504452
-399.5089485736219,-369.99709724581896,-335.6453526081524,-300.82799833189847
-287.6648846080963,-364.7642795457756,-457.0564638514478,-269.02405492449384
-409.8389642543111,-381.2324412807176,-402.55491152984314,-278.2232986954896
-208.03244409166606,-593.7488708793151,-469.5252545795829,-273.32936806657364
-287.8493520897027,-430.5058482232612,-545.0261829398762,-263.129287399127
-323.06266382542157,-382.69036363505165,-322.80911071554726,-298.1303743700805
-275.0622272938761,-370.01358919535636,-490.85119785425155,-324.6673032830961
-349.05668996452823,-483.6120526441153,-549.4152675066643,-115.66760481614025
-312.8943442565958,-502.4000393167804,-471.55969598454243,-327.1187847581207
-455.30095838755364,-400.6268107577525,-531.1795728227371,-268.7632986478681
-177.75605567209524,-470.8810917809323,-312.43910861328374,-246.6007007694535
-265.7964720694889,-382.46227777285515,-455.35366111597693,-308.8903243425078
-284.3680672609244,-382.8118409712823,-495.5507821906332,-340.2707096830504
-297.09102109240195,-360.85634087094456,-317.3364276407213,-325.5756068648104
-341.55012273761065,-384.1806974190479,-459.0478140121669,-302.0157723451003
-300.0412058040173,-329.95591217349335,-390.55396241113795,-301.2121141158554
-243.37615286669967,-307.5778785452244,-580.0493784277518,-231.15598403882828
-274.2258106959426,-374.9481057190008,-402.9308873292449,-330.18056575126894
-393.13825117687884,-446.921190383399,-482.5021182143672,-267.9072332130015
-247.04528389915257,-543.5491228726667,-572.4139837136065,-317.1229109187832
-393.5027838655116,-325.4888964296888,-476.04647716703334,-270.52816584073616
-357.0408754970469,-620.6050541510325,-377.20191438574966,-285.5740948479498
-298.53630989424954,-338.32070571321145,-415.5914580773015,-287.1390700355921
-278.6521900701176,-356.7886467230161,-393.0077153269416,-305.76914033235266
-253.804465030473,-475.43846205878174,-533.0235669517881,-219.92563861899714
-366.6229492748951,-435.65194693101415,-413.3640665765074,-300.5999784041904
-304.9172169672694,-378.35037077310454,-392.8758173093656,-368.68304183899085
-324.1931258813926,-465.3146657224924,-490.0572370262138,-203.79839907952223
-270.92151781757894,-554.3173528414292,-399.3633737009476,-301.8955039784279
-285.5316573715162,-403.4088850793032,-474.1081312174488,-156.28342261027063
-289.8783268131232,-387.1788034923555,-334.15019474727006,-347.0814543592477
-227.33062887978116,-404.5582021728458,-408.4921383509562,-260.2071963523989
-271.2630519938808,-412.4225561343117,-488.9520057755701,-221.44251367735623
-343.7011900487662,-566.3393977033245,-477.3071387614541,-328.7894346159276
-285.2370505873347,-377.28342517666965,-537.5889641312012,-326.3335023998894
-265.8519997969078,-377.496048625833,-497.1981549296841,-363.30007041994565
-296.5699923168387,-680.7709057748814,-486.9476908208368,-378.18550312679463
-316.6902983172115,-398.44124532514167,-529.4440071850406,-220.6480266199921
-338.3286985063875,-550.8928978528339,-359.69452309966823,-379.98591058906294
-284.4703783281239,-532.857413742385,-421.69438499104285,-271.6489020920393
-294.22190167328984,-509.8147889975822,-497.515696379388,-289.6553252718595
-268.74834284928704,-527.4341615216542,-390.002088532415,-343.0913805664272
-356.43865667594844,-395.32339547286153,-329.10547798396897,-343.7297261654342
-438.2952310353301,-395.0200800676432,-415.2619934909971,-345.51812601482146
-333.37534099517745,-358.9141656308609,-485.11310216366576,-199.76894046557027
-328.10061013231126,-497.189488862247,-450.0181447750142,-247.1071442660506
-403.86994686398356,-450.33457775726094,-467.5046548486406,-276.41319500124615
-221.69735790061796,-467.8598807189909,-452.88010613672407,-254.6981055639233
-291.1137899053382,-505.4898920814736,-432.5539782443473,-321.1982440470143
-448.54460342837433,-487.02082181075673,-469.8745276420145,-301.19796533534407
-264.40546247826626,-366.5860656464475,-383.9920892353988,-351.7754067150328
-595.3701149427437,-438.346789153484,-594.1435466074859,-332.0291937885484
-211.69082990476335,-508.05890515216254,-363.3812926180996,-310.92399164242306
-288.7875514763279,-413.79545462841463,-420.11751880959,-333.2664926525463
-295.4469196007043,-492.993324184965,-407.9911566663154,-371.12816468214
-359.0773608373484,-464.7845447322651,-526.4674041767479,-351.03195374743973
-294.31830251137535,-520.7261023565188,-537.9325422307179,-263.42947825674054
-331.78232550756604,-369.00244625266237,-433.4381348687391,-253.68993340974086
-326.9504406476582,-485.0511621682881,-370.74429151560025,-341.58014403929315
-349.0644224778627,-407.728098831536,-488.1736352063852,-272.3296777155572
-306.74444316333745,-424.72038721644606,-304.87299721390747,-258.7122005409706
-305.8659685908427,-411.4828676290136,-553.3545608728456,-285.97059756685184
-289.90658880160237,-508.4756297843769,-582.3148113149736,-350.0006266861741
-362.80759026411636,-494.4853059750535,-481.6914412120329,-204.5572743272172
-236.74611013085718,-543.4086173974738,-553.4570449861828,-370.6537290011653
-251.30089196464027,-578.6903259572109,-506.2815125311402,-310.2767383895049
-351.7892805097917,-391.3867736984305,-503.17494760222996,-181.32538839957812
-381.3310805529041,-494.63580190935124,-490.3221565782021,-338.176244661198
-335.3009865193819,-431.5690149808262,-361.0727609457186,-303.81168960696425
-288.303267743638,-447.5997705524656,-474.5185137958014,-356.0609424030987
-287.6624080878866,-472.4494984860195,-615.3034389935041,-326.97109915487533
-293.7422695415401,-427.43453991815943,-464.1724236117921,-251.07480042662183
-378.881744417347,-501.14515408855675,-514.266439462708,-316.0887840609354
-314.4901162887519,-412.0961016379952,-544.3426277547863,-324.67231883699606
-193.07059412134922,-515.7825309484631,-542.8953054804249,-341.79173069916885
-333.68369816965276,-502.7850957599446,-442.99725466129604,-284.72290733790214
-288.7570985630594,-301.86275248366417,-381.3637753626602,-363.00002425914187
-239.46546832319854,-498.95151331021856,-467.3468741916688,-287.36779356162447
-267.2770363598564,-373.3532297400983,-457.86619416050314,-354.4959684488283
-322.96397403032825,-416.12140148711245,-353.1327587290727,-233.2237278176828
-381.42104829121917,-409.2409891374385,-431.49453403193183,-213.36379700259192
-296.7971007251605,-478.1495146156478,-421.3045032284667,-341.79945609225445
-276.74658386480013,-480.8841576986872,-465.64017153762774,-257.20354034264994
-304.9559811090586,-398.1404598638117,-284.2178877494452,-336.97144508427607
-270.58036316056547,-326.0276473141834,-472.29318357972784,-180.22172213375234
-449.47847521294204,-424.12163233941953,-423.30918045519206,-226.87267930415186
-335.6748873732463,-384.86114329582864,-432.85099408346144,-241.47288246201265
-264.96627535545645,-376.9220902502289,-444.1565577319695,-256.74438716520655
-258.0081160603879,-432.66921785289077,-404.20835790849753,-354.8923348120243
-434.9737948099329,-542.4472318699446,-453.661540089998,-312.63835491859516
-221.27595730966289,-406.2315512835762,-528.5845537379705,-307.9564385161068
-335.6408078901867,-271.02847952034904,-372.2360063881745,-233.52204392164506
-258.4817251835884,-432.33426719232136,-393.6861851635478,-327.3793610760367
-370.42853394565697,-466.11996157326803,-291.99170676699936,-275.9372134009884
-343.9719721752423,-450.0106462614697,-535.3291518993655,-308.16211533322206
-348.7049345156435,-464.8124721872731,-536.6887572726188,-202.58035318519205
-272.34912625855935,-486.34088090733235,-603.1745273362446,-302.0837034153935
-333.3595598243264,-558.088557441187,-435.2440537415125,-330.817056986957
-354.11832760358743,-352.88690919743146,-412.8958698269769,-259.07991571533796
-252.46957468178547,-513.8375431638689,-527.154887661442,-210.33911096528595
-259.69850438128606,-436.1803765235876,-406.1125044311237,-308.1980309443088
-365.1494557611471,-418.7281133052668,-439.48515297045674,-294.4001352023868
-336.18281362837763,-423.4258821766318,-428.18383757450727,-351.0160337893285
-300.1359391916892,-469.57463026893487,-480.26098605393884,-296.91639456525206
-290.49513302381985,-467.20750041474287,-396.07135154746163,-316.1371157330996
-329.3282620670715,-392.11224504948035,-519.8921432612779,-254.14076187237538
-252.8421795887639,-510.5749622637919,-402.5676239247191,-410.0071055188892
-253.52188587424743,-435.94109144711,-366.72603789928274,-253.09876827950782
-271.8808878622821,-417.6232429124262,-491.17200913713043,-272.42838828063736
-322.14882246946263,-439.3578234082611,-571.6539417425612,-298.7295884073188
-210.7990968190472,-510.33890280698506,-462.5186458350205,-278.3380795163865
-271.76268863249817,-457.58668486096474,-532.1689014344986,-282.2703018995233
-287.18888141340585,-434.8781661195402,-411.29840455065954,-309.0572718343535
-368.665822933509,-435.2597825145307,-515.6631930360039,-306.12209448398517
-311.8679327769159,-362.9552757437919,-448.63597206562946,-288.5714816882496
-316.89476082359215,-551.1426247828551,-426.41164971083504,-266.8208807533066
-270.84321330851816,-329.6183977136372,-369.39127289578244,-369.04670851117805
-258.0802702046163,-475.8715481428377,-449.065634022414,-296.206138275376
-275.9148535918149,-598.5568803833661,-432.44505967474447,-359.36425079800557
-253.82367541672295,-535.6207154240628,-412.1371047228448,-311.53919331391063
-309.3621152438779,-381.4125360172927,-480.9486616126659,-322.40403265662
-247.06656186962553,-381.34012752950605,-453.7696184178397,-382.91891484475525
-198.69319410443552,-488.5949120875757,-440.42302648971827,-311.83247519618936
-242.77168595207758,-474.7811696906225,-548.6872686727239,-286.4524385469856
-325.80841641593327,-457.0305305898802,-566.1935876167383,-293.94869293736417
-351.23222049740497,-389.1305375712758,-505.9226180075315,-270.8465037397282
-310.39192128762164,-423.2679994492592,-552.6351300202193,-234.78451884589433
-287.6332164986456,-468.30979389198194,-459.41997346242454,-273.0485710811208
