android,swing,java,javascript
-133.81999381965863,-214.82240085070544,-279.65840533290407,-143.45808485475095
-223.313864615266,-267.7104191832141,-214.2804089164161,-49.77276010725668
-132.23546106176613,-215.8761232289513,-280.85706531555536,-146.22585295662415
-176.57431051176582,-172.64211570276464,-297.2952179093815,-150.86253521820058
-260.831987201846,-196.2891999960327,-269.00403699767,-114.00058630766256
-211.74709961209257,-223.92937561358974,-286.5640807149774,-99.7051372722641
-140.79301804876582,-248.95476948416066,-199.2934384958578,-79.56572520290844
-227.88112729164968,-302.78748406766584,-400.9559143524362,-129.20400399226756
-174.44532034782875,-198.39225145183207,-393.09508858806646,-102.73562030578076
-151.02312448221076,-227.95958450075736,-280.1569829972095,-96.8732747177969
-225.68248110371576,-293.6646887632781,-228.09232396583127,-205.08048406241335
-194.56238547898118,-221.4813771928099,-304.01589975720634,-76.88751162793731
-213.8115115613295,-199.43882048978796,-273.0075043807975,-110.9169357461044
-132.35012573148703,-207.26682888096926,-232.08408429206747,-139.60340482240636
-237.07863550861586,-253.08188201560733,-253.5999791120192,-149.15362488341887
-190.11442165825093,-320.6020747428723,-333.4604668725208,-78.66647076622586
-264.1063768495861,-240.59018119970855,-220.57118175605524,-105.64753233373791
-208.56762410416474,-123.0507400888665,-252.59471928950086,-85.29786192679099
-270.3689458872692,-275.8463064645971,-248.87857190589125,-111.37005139055604
-206.6343031532858,-277.04577820238137,-124.47287343957298,-74.09647602166633
-234.20829371353233,-250.91632466856638,-223.40845152366157,-86.79053228265043
-132.3232064555434,-250.60935505246115,-302.51824386860824,-177.40702065722084
-145.26741166200026,-286.23269971276665,-297.4728371807049,-114.41379166246388
-198.6590869197895,-196.08897122081714,-513.098649559307,-145.58109842668435
-190.2818687875232,-214.58954860725643,-227.5764979130137,-79.15827235277699
-215.6221289259787,-312.32358101506645,-317.44335963144385,-135.37928263080636
-201.02241780973534,-287.6838456929309,-270.87214381625085,-166.81114465912142
-178.48244692920352,-316.48207299533294,-283.2249151785762,-110.21397148733706
-254.96568493476735,-278.090967676309,-435.00950598660484,-141.07307844464466
-175.77912447208536,-268.474107137131,-273.55433577869314,-183.42334707147094
-200.07966134170726,-227.6516883404567,-152.66844758554316,-139.6339465956964
-194.98591486898275,-230.82780570290302,-320.1320290668219,-109.52885607777512
-287.0497193354034,-256.77813194170153,-388.043959538056,-135.4797175580994
-243.85126709369266,-353.2861182846399,-118.80517998059919,-113.88875700276988
-138.71160922600137,-251.53637143629226,-334.06666509831683,-107.18799619898205
-237.85952248785438,-290.7930892566513,-213.2957886143616,-277.1333777432101
-240.9148854670635,-291.0284554800094,-248.19102049764547,-142.2285274262855
-257.98602994536583,-281.20184420203236,-247.7341459429612,-108.565104360283
-197.42628413314662,-240.58268019609238,-421.73227348304835,-104.24617917212065
-94.13918913387468,-273.08675522647854,-331.63516792814073,-165.6194362435049
-201.5630600065728,-312.0642568919493,-319.253516789701,-87.52555939006082
-187.04209599292435,-257.3624635077041,-338.33870205590574,-197.15805343263463
-216.94003579333577,-251.18881518898252,-293.7261331793074,-82.05091249776522
-232.0825492328463,-224.15773155417995,-315.5074879078846,-112.25231221093532
-232.3296498616659,-271.2973105341564,-236.6408831404896,-74.59138876766283
-176.3189435148236,-254.68109185616606,-312.9346896978521,-67.52583324876043
-165.4782537922956,-259.99038738345075,-354.3809758407203,-170.77219044445266
-285.80062986890636,-187.09786450371234,-341.1043082316258,-145.687627673601
-228.8790893109911,-194.79893846964882,-260.3578334119879,-104.53830284733056
-192.3202578425667,-268.75570064219363,-308.608400932061,-168.5398689564961
