android,swing,swift,pel,matlab
-55522.74493973401,-51605.257545185035,-158496.7660228184,-13800.07885921174,-50235.32164474754
-122756.04240633771,-48374.69055548815,-84853.8895199837,-90738.19593024693,-104779.3864115554
-151997.33109405468,-139383.37873219262,-503831.6438336339,-87174.2300534214,-47995.79574523222
-180479.52614540758,-148987.2274013378,-21178.175346109667,-178827.1483552634,-70312.48016248102
-13496.242165699108,-34229.9578611622,-124193.6387085203,-34633.4397515173,-23068.322277353618
-111461.11369147526,-56670.80040741105,-179133.69191012127,-16363.311079618572,-123503.44873315099
-57200.68890771539,-107502.60115350602,-47786.135676869715,-107594.43138961254,-15025.264417404678
-51767.93702351175,-33427.940696015,-204650.92451498588,-126542.50839715151,-80751.21768569176
-121891.8012034792,-76051.14820134686,-128394.76059360143,-115172.64591401807,-29703.1356026344
-59576.78743496803,-52710.554144090376,-93211.94122370287,-18185.208625802916,-21924.262601757873
-130898.45301586372,-66309.8884210586,-83681.69557468237,-42141.82791442803,-13050.526433093695
-19379.942472708615,-84612.9980443121,-197189.46189339395,-49357.783806958076,-56711.62815552716
-25581.43517551901,-37199.576851981474,-44055.526790993135,-67291.74623470748,-240431.5016400253
-25195.289145582305,-131409.48410219612,-129588.21265806646,-67037.19457131621,-7975.344385368368
-32660.767433642348,-81848.4837652265,-81990.96306225237,-93420.32583461172,-28155.241239093946
-59010.20362974299,-20733.858216212866,-132492.5980382381,-29000.559656307603,-42866.79987041671
-113687.09100754262,-28167.143912936168,-41601.36607407364,-77873.33805770101,-53503.05179279568
-32159.838751130992,-26338.132448706674,-107362.60963914344,-36149.67022059549,-56328.35517132428
-26690.043608977823,-21941.422005609245,-26449.20372910378,-67356.02042680359,-49031.978695438105
-104597.71484880484,-100320.6297663615,-242550.5229349307,-37268.43602483963,-22766.190834854046
-16672.32751066424,-106385.54190272349,-66936.11188141243,-62470.208353195536,-31226.18368562345
-41457.75901098455,-52031.27241447552,-201748.44547476765,-112898.78904551371,-29169.357961723712
-23342.62392750053,-28863.55645312623,-350388.67724131694,-21240.614402547726,-76056.6642622364
-127016.31530072472,-67973.91205876238,-794229.7415803655,-20617.991493166704,-78413.92243791679
-117239.68466827362,-133542.57651526784,-55781.57724915427,-19496.32952943025,-37011.00883896877
-70703.69808012407,-43286.80217873846,-54444.24973394687,-61674.792159919634,-15276.894927419648
-63094.80396367055,-184485.45803111725,-155838.246459556,-169953.06347000954,-19751.33332567768
-21601.46827021323,-105019.08295877601,-137698.88312303327,-7945.717577609233,-37788.33232659755
-71235.07193926847,-33526.75485076886,-280937.0798085765,-14858.47055801703,-10695.853343077475
-29402.918584183968,-151161.59681099327,-251801.04496989286,-17327.374408562624,-15345.32382179191
-19820.892411007328,-150479.16483053568,-396211.5499136059,-18903.195135600534,-189537.76972926036
-173261.98416437325,-61016.83051742945,-92936.7624798949,-61077.73614714041,-9318.127701606289
-17140.311834168882,-20305.070635032702,-209607.43383883112,-22424.908467953162,-23133.235889883195
-12558.705321526137,-21175.090493802345,-163081.4582895729,-23159.04507202762,-38685.914210706964
-85781.4748866598,-76282.27223051242,-142649.79318564577,-187489.0057117981,-30659.257470568573
-30288.013880978448,-357137.69408708287,-79408.03326775708,-40019.12459313682,-45058.90821922328
-46266.41114070942,-44275.88329026677,-54468.32202057176,-24442.856224972824,-47329.098752401864
-40055.2779523845,-104697.6742666076,-239771.5554139671,-33255.954359326715,-31125.465626258094
-55138.01380342554,-269365.7134890144,-219725.1275258735,-48690.98989946492,-149584.92863671674
-36158.60942032338,-151720.31645584718,-35212.80664868717,-75584.81262395695,-16843.169676419526
-139269.0146266587,-56432.54597463173,-51788.05204057175,-56105.019331577714,-23008.812255939214
-25004.304300130963,-104229.95448673458,-257285.20553395757,-64122.1539912134,-77710.58465526796
-39018.473304408,-360365.523837673,-79185.1124663934,-12032.066857276337,-60325.35653726605
-64520.66840078772,-35040.65150429399,-9087.493159329446,-34642.18228197605,-72181.64787934873
-116282.79772711964,-22101.169160675738,-158569.14350726924,-124552.96596148213,-223304.54124400136
-8864.627087777377,-80242.95043163089,-75912.08291130578,-39324.836523528335,-39473.95029936183
-70692.4884831322,-223789.9765139969,-132107.00877973688,-33185.8461545296,-22999.66273950903
-45862.57611901426,-127716.2629535402,-37162.66648056324,-48985.45931471665,-69490.40101189914
-81509.6500045142,-73472.25363980875,-713175.601076248,-26326.83005170252,-49733.782767344055
-105014.0237035492,-78236.04927148981,-242275.529594963,-40620.60608847178,-15096.793384064871
-52596.64117709575,-32596.02875050107,-105429.29576017923,-48236.96758899295,-122959.09054032163
-41686.96631494657,-89860.5616659538,-278115.8862868684,-13018.853593633587,-46168.41311851037
-8354.54325072727,-115972.8034121095,-46482.25646922679,-58252.29962743281,-15248.209042624085
-104595.73547767899,-42828.630560474056,-127419.15831498055,-104898.63953295912,-119146.37039574499
-17313.415936445515,-43883.49873511826,-82526.78635096172,-15882.484922367194,-54796.458090889144
-111277.60986413209,-91407.0334470501,-37394.38599916228,-62381.327447338386,-58298.30567332108
-84101.4881071916,-40634.896888040195,-103666.77649676964,-19773.09547453152,-20689.64451399624
-44416.827874263254,-85129.23076420822,-78433.72150528443,-43926.43538601186,-69886.02702631241
-80720.08392343749,-119585.40438557681,-122304.75678938364,-38633.58996998908,-63334.123612704505
-26025.449941984385,-36957.23776849815,-19706.093665771346,-35113.03800832767,-13743.561489196347
-106409.66161854178,-106024.96296223659,-194720.10700255248,-91553.65038380997,-102887.10417990148
-22648.525208263713,-22039.743775978484,-221511.81564221767,-22344.17829653462,-55094.387238696436
-41700.30893389012,-237350.72229152345,-294475.9015494426,-72956.95538907254,-136611.57504962513
-18935.47086471151,-163599.96999972197,-171005.86155034925,-61769.96358006018,-73579.23644757454
-23458.761136552333,-30463.263690847984,-28068.590950693015,-24399.393812066006,-47054.85300992517
-24613.76910209032,-56721.98467696583,-384995.6191164547,-87187.70901720607,-25414.58300343216
-88935.47500521257,-151592.28176659805,-12534.28497509505,-69883.8157912358,-37093.59190973797
-51567.518155498896,-344514.27209148766,-291543.8539321242,-202338.91888419382,-89863.32614201467
-209694.11036940664,-65611.12879548241,-263001.67004420614,-26389.760852969477,-141935.49778297558
-97356.51211373536,-113158.76890799499,-128666.87187033967,-78599.07074867263,-32888.20405093987
-63075.34001665235,-153663.7992871439,-113693.72261131751,-45581.9182381782,-52668.487576389256
-35030.102400296506,-118186.99273994002,-196588.91471679904,-7525.160312736709,-32407.76805578375
-124643.55520633094,-25909.857806823555,-161531.15004879385,-40795.27841373859,-35856.28528910166
-30395.90150235755,-18775.81574315087,-332812.85636652034,-18547.110732832174,-113462.11796145112
-84479.94249360026,-19937.74455511562,-144553.02891636448,-51494.582350711586,-127306.19650162086
-269212.6824686145,-25697.211023238728,-65059.40799160612,-67964.85172148542,-41827.90808075407
-127612.0396274332,-164919.00194043992,-239654.17881250067,-130360.96341850099,-28488.07225651614
-68076.2820247128,-21320.289502005955,-21065.243012232775,-16556.41775008692,-127863.82572908695
-138520.46825379095,-134423.5258085996,-152082.93515076232,-38963.28115672717,-4008.0733043711803
-253365.8160241806,-158322.614051988,-142681.24753101182,-45135.57411570974,-30143.108709848955
-24271.87061388138,-369482.4556447646,-312056.91171137104,-25840.993087562823,-34941.902884549396
-73718.57827896833,-53678.61526767342,-42740.10144272737,-35761.45646400459,-9907.1418110286
-30534.197190474733,-138808.89462421776,-446310.12006672873,-45340.81343832449,-31736.00656145532
-35711.46782755378,-195654.2771684506,-15746.160831109659,-81753.56213009199,-84905.34424118134
-15481.550880048087,-110147.26239704722,-62026.38689863405,-76380.8617232888,-100102.76586457594
-44233.11888988088,-17353.205401657826,-37163.49314379568,-73816.35928657584,-17069.954273835792
-22611.819192074763,-132371.6001370749,-24461.889222514037,-73459.5374520625,-62573.51389707341
-125015.99036369257,-137137.56441775154,-32406.314505968825,-86128.33213057053,-50823.044764578044
-50922.59599255612,-11845.063011732562,-87367.33184114295,-128013.96070770152,-24371.10038991349
-18381.00894339515,-149159.55183570695,-73913.74924598925,-63880.389842667995,-54570.82258799699
-22553.55600301421,-35917.754782795884,-229046.42709383674,-78442.15600463803,-65004.455111529234
-32963.25612321669,-32274.657831076438,-79724.88260975265,-115914.52871118023,-69835.59586732667
-88210.66836903465,-46698.42810969446,-58775.161751538006,-39689.857549974266,-15439.815620328154
-48168.69595379576,-44676.01401703051,-51064.61382890191,-29883.597960782867,-34828.637140597755
-212198.58452751194,-607520.1860767344,-7149.325609545584,-143100.3415111256,-20338.117397839647
-46858.227989836676,-78175.09987060734,-30627.678594955672,-60964.55063528765,-14313.648889617405
-19810.414564609437,-179108.98753041745,-16642.96046884035,-35298.25194844567,-28005.128561914386
-18147.882418721256,-98335.20077657224,-107895.86833448255,-20987.738541643284,-111012.93174238571
-81190.98837447772,-494618.0071518467,-45251.85944690968,-20139.73118199587,-46429.357835298084
-66247.76897127106,-91479.05567997858,-236379.2760989507,-52786.53078758437,-72607.15110278902
-52760.175130165866,-52789.82792325078,-15944.338584200621,-9105.085534716829,-104216.68867090464
-8959.246107584364,-72040.49570271104,-24560.64884281409,-192234.22599568515,-29386.12725518756
-96493.20357275654,-25321.35473257963,-6606.191786662274,-39454.73334124497,-7338.759505471991
-51801.964113391514,-45103.012154022836,-14758.829130857848,-121910.04704878577,-63598.33279838716
-122052.52854076323,-65595.94186084415,-4107.104465789651,-52470.75112930617,-69688.22400820942
-27269.747614919273,-35968.907168337275,-13556.150831189414,-270005.9395217391,-723314.2839364273
-9088.82999177241,-147274.06624764265,-60447.777592906765,-19935.529482765214,-13372.76882237005
-17497.783013559827,-260645.5618193178,-492090.2424961399,-39095.957274649205,-71056.5099009334
-330943.0415791976,-75793.6287905585,-456399.22609923856,-60833.79298267409,-55910.603678276886
-124988.71290025536,-42965.0628595756,-364902.22160944465,-30045.828707510107,-16252.289091204122
-113911.85292754626,-829783.2436163442,-25844.881456325238,-102379.22094683343,-134520.24365071408
-42607.12855979054,-21941.565739374255,-52958.98707704712,-171729.60673342226,-56979.822801292146
-37706.46785789596,-20053.118264989716,-109479.94062959816,-102091.92055807932,-20451.84736125884
-67388.71135432084,-225392.5769925118,-58762.86682339989,-41915.88198591753,-26246.024425039574
-26834.18387114665,-264796.03475426615,-78696.40011559249,-51831.65632109949,-15618.373329227246
-38973.100556970174,-46469.145045056066,-48853.593827169185,-36276.36510179257,-152310.1422115201
-47824.87841396938,-24311.288828955905,-55734.83942624757,-10788.25671135204,-85835.69430453562
-58506.61816177584,-14071.85674949403,-28722.411193347085,-11326.997293890963,-27653.82843442803
-64932.082920680936,-31301.502949868074,-380618.8214305081,-129440.32585610778,-110810.38464008096
-230453.349894187,-91191.00800463615,-5476.4138901616425,-59893.36186828314,-33912.09326711911
-87200.05052206153,-205118.49046185348,-302772.3137968918,-22209.993929618136,-21014.990635597787
-48156.32556419952,-10344.493648188043,-1150135.5439374228,-158307.14307741207,-51440.08858288159
-36454.40444955322,-70843.64023513038,-99263.53091624791,-40879.72132716372,-22779.063488468106
